股票,族群,現價,AI分數,交易狀態,市場溫度,市場溫度類別,市場狀態,壓力,支撐,RR,多週期判讀,情境提醒,AI策略劇本,結構結果,日K方向,30分K方向,量價判讀,_cats,_sort,主力痕跡
2451 創見,記憶體,321.0,96,主升多｜等突破,🔥 攻擊盤,temp-hot,初升,328(30M平台),315.5(30M平台) / 311(前低),1.27,<div class='layer'><span class='layer-label'>日K</span><span class='layer-text'>多｜強多</span></div><div class='layer'><span class='layer-label'>30M</span><span class='layer-text'>多｜強多</span></div><div class='layer'><span class='layer-label'>位階</span><span class='layer-text'>中繼位階</span></div><div class='layer'><span class='layer-label'>節奏</span><span class='layer-text'>放量｜RV 4.18x</span></div><div class='layer'><span class='layer-label'>情緒</span><span class='layer-text'>🔥 攻擊盤</span></div>,資金開始集中，整理後仍有續攻味道。<br>盤面偏積極，續強機率較高。 追價報酬效率普通，宜等更明確的突破。,"方向：多方續強
關鍵：守住 315.5(30M平台) / 311(前低)，突破 328(30M平台)
劇本：若帶量站上壓力，續攻機率提高；跌破支撐則轉觀察。",主升多,多｜強多,多｜強多,放量｜RV 4.18x｜均線上彎,記憶體,0,一般整理
3017 奇鋐,AI伺服器,2700.0,95,空方反彈｜看關鍵位,🌤 觀察盤,temp-neutral,反彈,2725(前高) / 2790(30M平台),2575(前低) / 2570.25(MA20),5.00,<div class='layer'><span class='layer-label'>日K</span><span class='layer-text'>空｜強多</span></div><div class='layer'><span class='layer-label'>30M</span><span class='layer-text'>多｜強多</span></div><div class='layer'><span class='layer-label'>位階</span><span class='layer-text'>中繼位階</span></div><div class='layer'><span class='layer-label'>節奏</span><span class='layer-text'>放量｜RV 2.53x</span></div><div class='layer'><span class='layer-label'>情緒</span><span class='layer-text'>🌤 觀察盤</span></div>,屬於修復性反彈，重點看壓力能否消化。<br>目前較適合觀察確認。 空間條件不差，若結構延續，仍有操作彈性。 量縮壓縮味道明顯，等待方向確認即可。,"方向：觀察整理
關鍵：守住 2575(前低) / 2570.25(MA20)，突破 2725(前高) / 2790(30M平台)，RR 佳
劇本：先看支撐是否守穩；重新站回壓力才提高攻擊假設。 量縮等待表態。",空方反彈,空｜強多,多｜強多,放量｜RV 2.53x｜均線上彎,AI伺服器,5,量縮壓縮
2367 燿華,"自選,PCB",67.1,95,多方回檔｜看關鍵位,🌤 觀察盤,temp-neutral,洗盤,68.13(MA60) / 70.1(前高),66.7(前低) / 65.5(大量K),2.58,<div class='layer'><span class='layer-label'>日K</span><span class='layer-text'>多｜強多</span></div><div class='layer'><span class='layer-label'>30M</span><span class='layer-text'>空｜偏多</span></div><div class='layer'><span class='layer-label'>位階</span><span class='layer-text'>中繼位階</span></div><div class='layer'><span class='layer-label'>節奏</span><span class='layer-text'>放量｜RV 1.47x</span></div><div class='layer'><span class='layer-label'>情緒</span><span class='layer-text'>🌤 觀察盤</span></div>,短線壓回但承接尚在，較像換手整理。<br>目前較適合觀察確認。 空間條件不差，若結構延續，仍有操作彈性。 量縮壓縮味道明顯，等待方向確認即可。,"方向：觀察整理
關鍵：守住 66.7(前低) / 65.5(大量K)，突破 68.13(MA60) / 70.1(前高)，RR 佳
劇本：先看支撐是否守穩；重新站回壓力才提高攻擊假設。 量縮等待表態。",多方回檔,多｜強多,空｜偏多,放量｜RV 1.47x｜均線下彎,"自選,PCB",3,量縮壓縮
3265 台星科,封測,189.5,94,多方回檔｜看關鍵位,🌤 觀察盤,temp-neutral,洗盤,191.5(前高) / 192(30M平台),188(30M平台) / 181.03(MA20),1.33,<div class='layer'><span class='layer-label'>日K</span><span class='layer-text'>多｜強多</span></div><div class='layer'><span class='layer-label'>30M</span><span class='layer-text'>空｜偏空</span></div><div class='layer'><span class='layer-label'>位階</span><span class='layer-text'>中繼位階</span></div><div class='layer'><span class='layer-label'>節奏</span><span class='layer-text'>放量｜RV 2.00x</span></div><div class='layer'><span class='layer-label'>情緒</span><span class='layer-text'>🌤 觀察盤</span></div>,短線壓回但承接尚在，較像換手整理。<br>目前較適合觀察確認。 追價報酬效率普通，宜等更明確的突破。 量縮壓縮味道明顯，等待方向確認即可。,"方向：觀察整理
關鍵：守住 188(30M平台) / 181.03(MA20)，突破 191.5(前高) / 192(30M平台)
劇本：先看支撐是否守穩；重新站回壓力才提高攻擊假設。 量縮等待表態。",多方回檔,多｜強多,空｜偏空,放量｜RV 2.00x｜均線下彎,封測,3,量縮壓縮
5469 瀚宇博,PCB,87.0,92,空方反彈｜看關鍵位,🌤 觀察盤,temp-neutral,反彈,88.7(30M平台),83.1(30M平台) / 83.1(前低),2.29,<div class='layer'><span class='layer-label'>日K</span><span class='layer-text'>空｜偏多</span></div><div class='layer'><span class='layer-label'>30M</span><span class='layer-text'>多｜強多</span></div><div class='layer'><span class='layer-label'>位階</span><span class='layer-text'>中繼位階</span></div><div class='layer'><span class='layer-label'>節奏</span><span class='layer-text'>放量｜RV 2.02x</span></div><div class='layer'><span class='layer-label'>情緒</span><span class='layer-text'>🌤 觀察盤</span></div>,屬於修復性反彈，重點看壓力能否消化。<br>目前較適合觀察確認。,"方向：觀察整理
關鍵：守住 83.1(30M平台) / 83.1(前低)，突破 88.7(30M平台)，RR 佳
劇本：先看支撐是否守穩；重新站回壓力才提高攻擊假設。",空方反彈,空｜偏多,多｜強多,放量｜RV 2.02x｜均線上彎,PCB,5,短線轉強
2383 台光電,玻纖布,5305.0,90,多方回檔｜看關鍵位,🌤 觀察盤,temp-neutral,洗盤,5485(30M平台) / 5505(前高),5290(前低) / 5275(30M平台),12.00,<div class='layer'><span class='layer-label'>日K</span><span class='layer-text'>多｜強多</span></div><div class='layer'><span class='layer-label'>30M</span><span class='layer-text'>空｜偏空</span></div><div class='layer'><span class='layer-label'>位階</span><span class='layer-text'>高檔延伸</span></div><div class='layer'><span class='layer-label'>節奏</span><span class='layer-text'>放量｜RV 2.32x</span></div><div class='layer'><span class='layer-label'>情緒</span><span class='layer-text'>🌤 觀察盤</span></div>,短線壓回但承接尚在，較像換手整理。<br>目前較適合觀察確認。 空間條件不差，若結構延續，仍有操作彈性。 量縮壓縮味道明顯，等待方向確認即可。,"方向：觀察整理
關鍵：守住 5290(前低) / 5275(30M平台)，突破 5485(30M平台) / 5505(前高)，RR 佳
劇本：先看支撐是否守穩；重新站回壓力才提高攻擊假設。 量縮等待表態。",多方回檔,多｜強多,空｜偏空,放量｜RV 2.32x｜均線下彎,玻纖布,3,量縮壓縮
4571 鈞興-KY,機器人,218.0,90,多方回檔｜看關鍵位,🌤 觀察盤,temp-neutral,洗盤,224(30M平台) / 227(前高),217.5(30M平台) / 205.5(MA20),12.00,<div class='layer'><span class='layer-label'>日K</span><span class='layer-text'>多｜強多</span></div><div class='layer'><span class='layer-label'>30M</span><span class='layer-text'>空｜強空</span></div><div class='layer'><span class='layer-label'>位階</span><span class='layer-text'>高檔延伸</span></div><div class='layer'><span class='layer-label'>節奏</span><span class='layer-text'>放量｜RV 3.04x</span></div><div class='layer'><span class='layer-label'>情緒</span><span class='layer-text'>🌤 觀察盤</span></div>,短線壓回但承接尚在，較像換手整理。<br>目前較適合觀察確認。 空間條件不差，若結構延續，仍有操作彈性。 量縮壓縮味道明顯，等待方向確認即可。,"方向：觀察整理
關鍵：守住 217.5(30M平台) / 205.5(MA20)，突破 224(30M平台) / 227(前高)，RR 佳
劇本：先看支撐是否守穩；重新站回壓力才提高攻擊假設。 量縮等待表態。",多方回檔,多｜強多,空｜強空,放量｜RV 3.04x｜沿短均線下殺,機器人,3,量縮壓縮
6202 盛群,MCU,60.4,90,多方回檔｜看關鍵位,🌤 觀察盤,temp-neutral,洗盤,61.5(30M平台) / 61.5(前高),60.3(30M平台) / 56.73(MA20),11.00,<div class='layer'><span class='layer-label'>日K</span><span class='layer-text'>多｜強多</span></div><div class='layer'><span class='layer-label'>30M</span><span class='layer-text'>空｜偏空</span></div><div class='layer'><span class='layer-label'>位階</span><span class='layer-text'>中繼位階</span></div><div class='layer'><span class='layer-label'>節奏</span><span class='layer-text'>量增｜RV 1.25x</span></div><div class='layer'><span class='layer-label'>情緒</span><span class='layer-text'>🌤 觀察盤</span></div>,短線壓回但承接尚在，較像換手整理。<br>目前較適合觀察確認。 空間條件不差，若結構延續，仍有操作彈性。 量縮壓縮味道明顯，等待方向確認即可。,"方向：觀察整理
關鍵：守住 60.3(30M平台) / 56.73(MA20)，突破 61.5(30M平台) / 61.5(前高)，RR 佳
劇本：先看支撐是否守穩；重新站回壓力才提高攻擊假設。 量縮等待表態。",多方回檔,多｜強多,空｜偏空,量增｜RV 1.25x｜沿短均線下殺,MCU,3,量縮壓縮
6271 同欣電,封測,254.5,90,末升段｜等突破,🟠 偏熱盤,temp-warm,末升,260.5(前高) / 261(30M平台),253.5(30M平台) / 243.5(前低),6.00,<div class='layer'><span class='layer-label'>日K</span><span class='layer-text'>多｜強多</span></div><div class='layer'><span class='layer-label'>30M</span><span class='layer-text'>多｜強多</span></div><div class='layer'><span class='layer-label'>位階</span><span class='layer-text'>高檔延伸</span></div><div class='layer'><span class='layer-label'>節奏</span><span class='layer-text'>放量｜RV 2.16x</span></div><div class='layer'><span class='layer-label'>情緒</span><span class='layer-text'>🟠 偏熱盤</span></div>,漲勢仍在，但尾段容易出現震盪。<br>趨勢仍在，但短線已開始偏熱。 空間條件不差，若結構延續，仍有操作彈性。,"方向：高檔震盪
關鍵：守住 253.5(30M平台) / 243.5(前低)，突破 260.5(前高) / 261(30M平台)，RR 佳
劇本：若量能無法延續，不追高；失守支撐先控風險。",末升段,多｜強多,多｜強多,放量｜RV 2.16x｜均線上彎,封測,1,一般整理
6213 聯茂,玻纖布,276.5,90,末升段｜等突破,🟠 偏熱盤,temp-warm,末升,285(30M平台),274.5(30M平台) / 269.93(MA20),4.25,<div class='layer'><span class='layer-label'>日K</span><span class='layer-text'>多｜強多</span></div><div class='layer'><span class='layer-label'>30M</span><span class='layer-text'>多｜強多</span></div><div class='layer'><span class='layer-label'>位階</span><span class='layer-text'>高檔延伸</span></div><div class='layer'><span class='layer-label'>節奏</span><span class='layer-text'>放量｜RV 3.92x</span></div><div class='layer'><span class='layer-label'>情緒</span><span class='layer-text'>🟠 偏熱盤</span></div>,漲勢仍在，但尾段容易出現震盪。<br>趨勢仍在，但短線已開始偏熱。 空間條件不差，若結構延續，仍有操作彈性。,"方向：高檔震盪
關鍵：守住 274.5(30M平台) / 269.93(MA20)，突破 285(30M平台)，RR 佳
劇本：若量能無法延續，不追高；失守支撐先控風險。",末升段,多｜強多,多｜強多,放量｜RV 3.92x｜均線上彎,玻纖布,1,一般整理
3189 景碩,PCB,702.0,88,末升段｜等突破,🟠 偏熱盤,temp-warm,末升,739(30M平台),691(30M平台) / 669(前低),3.36,<div class='layer'><span class='layer-label'>日K</span><span class='layer-text'>多｜強多</span></div><div class='layer'><span class='layer-label'>30M</span><span class='layer-text'>多｜偏多</span></div><div class='layer'><span class='layer-label'>位階</span><span class='layer-text'>高檔延伸</span></div><div class='layer'><span class='layer-label'>節奏</span><span class='layer-text'>放量｜RV 2.25x</span></div><div class='layer'><span class='layer-label'>情緒</span><span class='layer-text'>🟠 偏熱盤</span></div>,漲勢仍在，但尾段容易出現震盪。<br>趨勢仍在，但短線已開始偏熱。 空間條件不差，若結構延續，仍有操作彈性。,"方向：高檔震盪
關鍵：守住 691(30M平台) / 669(前低)，突破 739(30M平台)，RR 佳
劇本：若量能無法延續，不追高；失守支撐先控風險。",末升段,多｜強多,多｜偏多,放量｜RV 2.25x｜均線上彎,PCB,1,一般整理
3211 順達,BBU,464.0,88,末升段｜等突破,🟠 偏熱盤,temp-warm,末升,469(前高) / 481.5(30M平台),462.5(30M平台) / 426.5(前低),3.33,<div class='layer'><span class='layer-label'>日K</span><span class='layer-text'>多｜強多</span></div><div class='layer'><span class='layer-label'>30M</span><span class='layer-text'>多｜偏多</span></div><div class='layer'><span class='layer-label'>位階</span><span class='layer-text'>高檔延伸</span></div><div class='layer'><span class='layer-label'>節奏</span><span class='layer-text'>放量｜RV 2.25x</span></div><div class='layer'><span class='layer-label'>情緒</span><span class='layer-text'>🟠 偏熱盤</span></div>,漲勢仍在，但尾段容易出現震盪。<br>趨勢仍在，但短線已開始偏熱。 空間條件不差，若結構延續，仍有操作彈性。,"方向：高檔震盪
關鍵：守住 462.5(30M平台) / 426.5(前低)，突破 469(前高) / 481.5(30M平台)，RR 佳
劇本：若量能無法延續，不追高；失守支撐先控風險。",末升段,多｜強多,多｜偏多,放量｜RV 2.25x｜均線上彎,BBU,1,一般整理
2356 英業達,AI伺服器,62.0,88,多方回檔｜看關鍵位,🌤 觀察盤,temp-neutral,洗盤,63.3(30M平台) / 65.4(前高),61.6(30M平台) / 52.5(MA20),3.25,<div class='layer'><span class='layer-label'>日K</span><span class='layer-text'>多｜強多</span></div><div class='layer'><span class='layer-label'>30M</span><span class='layer-text'>空｜偏空</span></div><div class='layer'><span class='layer-label'>位階</span><span class='layer-text'>高檔延伸</span></div><div class='layer'><span class='layer-label'>節奏</span><span class='layer-text'>放量｜RV 4.55x</span></div><div class='layer'><span class='layer-label'>情緒</span><span class='layer-text'>🌤 觀察盤</span></div>,短線壓回但承接尚在，較像換手整理。<br>目前較適合觀察確認。 空間條件不差，若結構延續，仍有操作彈性。 量縮壓縮味道明顯，等待方向確認即可。,"方向：觀察整理
關鍵：守住 61.6(30M平台) / 52.5(MA20)，突破 63.3(30M平台) / 65.4(前高)，RR 佳
劇本：先看支撐是否守穩；重新站回壓力才提高攻擊假設。 量縮等待表態。",多方回檔,多｜強多,空｜偏空,放量｜RV 4.55x｜均線下彎,AI伺服器,3,量縮壓縮
