股票,族群,現價,AI分數,交易狀態,市場溫度,市場溫度類別,市場狀態,壓力,支撐,RR,多週期判讀,情境提醒,AI策略劇本,結構結果,日K方向,30分K方向,量價判讀,_cats,_sort,主力痕跡
2356 英業達,AI伺服器,70.6,90,多方回檔｜看關鍵位,🌤 觀察盤,temp-neutral,洗盤,76.8(前高),69.2(30M平台) / 69.2(前低),4.43,<div class='layer'><span class='layer-label'>日K</span><span class='layer-text'>多｜強多</span></div><div class='layer'><span class='layer-label'>30M</span><span class='layer-text'>空｜偏空</span></div><div class='layer'><span class='layer-label'>位階</span><span class='layer-text'>高檔延伸</span></div><div class='layer'><span class='layer-label'>節奏</span><span class='layer-text'>放量｜RV 3.24x</span></div><div class='layer'><span class='layer-label'>情緒</span><span class='layer-text'>🌤 觀察盤</span></div>,短線壓回但承接尚在，較像換手整理。<br>目前較適合觀察確認。 空間條件不差，若結構延續，仍有操作彈性。 量縮壓縮味道明顯，等待方向確認即可。,"方向：觀察整理
關鍵：守住 69.2(30M平台) / 69.2(前低)，突破 76.8(前高)，RR 佳
劇本：先看支撐是否守穩；重新站回壓力才提高攻擊假設。 量縮等待表態。",多方回檔,多｜強多,空｜偏空,放量｜RV 3.24x｜均線下彎,AI伺服器,3,量縮壓縮
2049 上銀,機器人,345.0,89,空方反彈｜看關鍵位,🌤 觀察盤,temp-neutral,反彈,355.35(保守壓力),329.5(30M平台) / 329.5(前低),1.50,<div class='layer'><span class='layer-label'>日K</span><span class='layer-text'>空｜偏空</span></div><div class='layer'><span class='layer-label'>30M</span><span class='layer-text'>多｜偏多</span></div><div class='layer'><span class='layer-label'>位階</span><span class='layer-text'>中繼位階</span></div><div class='layer'><span class='layer-label'>節奏</span><span class='layer-text'>放量｜RV 3.69x</span></div><div class='layer'><span class='layer-label'>情緒</span><span class='layer-text'>🌤 觀察盤</span></div>,屬於修復性反彈，重點看壓力能否消化。<br>目前較適合觀察確認。 量縮壓縮味道明顯，等待方向確認即可。,"方向：觀察整理
關鍵：守住 329.5(30M平台) / 329.5(前低)，突破 355.35(保守壓力)
劇本：先看支撐是否守穩；重新站回壓力才提高攻擊假設。 量縮等待表態。",空方反彈,空｜偏空,多｜偏多,放量｜RV 3.69x｜沿短均線攻擊,機器人,5,量縮壓縮
2337 旺宏,"記憶體,自選",145.5,88,空方反彈｜看關鍵位,🌤 觀察盤,temp-neutral,反彈,146(30M平台) / 146.77(MA60),143.5(前低) / 142(30M平台),4.00,<div class='layer'><span class='layer-label'>日K</span><span class='layer-text'>空｜偏空</span></div><div class='layer'><span class='layer-label'>30M</span><span class='layer-text'>多｜偏多</span></div><div class='layer'><span class='layer-label'>位階</span><span class='layer-text'>中繼位階</span></div><div class='layer'><span class='layer-label'>節奏</span><span class='layer-text'>放量｜RV 1.70x</span></div><div class='layer'><span class='layer-label'>情緒</span><span class='layer-text'>🌤 觀察盤</span></div>,屬於修復性反彈，重點看壓力能否消化。<br>目前較適合觀察確認。 空間條件不差，若結構延續，仍有操作彈性。,"方向：觀察整理
關鍵：守住 143.5(前低) / 142(30M平台)，突破 146(30M平台) / 146.77(MA60)，RR 佳
劇本：先看支撐是否守穩；重新站回壓力才提高攻擊假設。",空方反彈,空｜偏空,多｜偏多,放量｜RV 1.70x｜沿短均線攻擊,"記憶體,自選",5,一般整理
6271 同欣電,封測,240.0,88,末升段｜等突破,🟠 偏熱盤,temp-warm,末升,247.2(保守壓力),237.5(大量K) / 223.2(MA20),2.88,<div class='layer'><span class='layer-label'>日K</span><span class='layer-text'>多｜強多</span></div><div class='layer'><span class='layer-label'>30M</span><span class='layer-text'>多｜強多</span></div><div class='layer'><span class='layer-label'>位階</span><span class='layer-text'>高檔延伸</span></div><div class='layer'><span class='layer-label'>節奏</span><span class='layer-text'>放量｜RV 1.49x</span></div><div class='layer'><span class='layer-label'>情緒</span><span class='layer-text'>🟠 偏熱盤</span></div>,漲勢仍在，但尾段容易出現震盪。<br>趨勢仍在，但短線已開始偏熱。 空間條件不差，若結構延續，仍有操作彈性。,"方向：高檔震盪
關鍵：守住 237.5(大量K) / 223.2(MA20)，突破 247.2(保守壓力)，RR 佳
劇本：若量能無法延續，不追高；失守支撐先控風險。",末升段,多｜強多,多｜強多,放量｜RV 1.49x｜沿短均線攻擊,封測,1,短線轉強
3037 欣興,PCB載板材料,969.0,87,末升段｜等突破,🟠 偏熱盤,temp-warm,末升,998.07(保守壓力),948.5(MA20) / 911(前低),1.42,<div class='layer'><span class='layer-label'>日K</span><span class='layer-text'>多｜強多</span></div><div class='layer'><span class='layer-label'>30M</span><span class='layer-text'>多｜強多</span></div><div class='layer'><span class='layer-label'>位階</span><span class='layer-text'>高檔延伸</span></div><div class='layer'><span class='layer-label'>節奏</span><span class='layer-text'>放量｜RV 2.85x</span></div><div class='layer'><span class='layer-label'>情緒</span><span class='layer-text'>🟠 偏熱盤</span></div>,漲勢仍在，但尾段容易出現震盪。<br>趨勢仍在，但短線已開始偏熱。 追價報酬效率普通，宜等更明確的突破。,"方向：高檔震盪
關鍵：守住 948.5(MA20) / 911(前低)，突破 998.07(保守壓力)
劇本：若量能無法延續，不追高；失守支撐先控風險。",末升段,多｜強多,多｜強多,放量｜RV 2.85x｜沿短均線攻擊,PCB載板材料,1,短線轉強
4967 十銓,記憶體,286.0,86,主升多｜空間緊,🌤 觀察盤,temp-neutral,初升,288.5(30M平台),278.68(MA20) / 277.5(前低),0.34,<div class='layer'><span class='layer-label'>日K</span><span class='layer-text'>多｜強多</span></div><div class='layer'><span class='layer-label'>30M</span><span class='layer-text'>多｜強多</span></div><div class='layer'><span class='layer-label'>位階</span><span class='layer-text'>中繼位階</span></div><div class='layer'><span class='layer-label'>節奏</span><span class='layer-text'>放量｜RV 2.60x</span></div><div class='layer'><span class='layer-label'>情緒</span><span class='layer-text'>🌤 觀察盤</span></div>,資金開始集中，整理後仍有續攻味道。<br>目前較適合觀察確認。 空間偏緊，較像要先等確認的盤。 雖然結構偏強，但這個位置先不要把它當成好追價點。,"方向：多方續強
關鍵：守住 278.68(MA20) / 277.5(前低)，突破 288.5(30M平台)，RR 偏緊
劇本：若帶量站上壓力，續攻機率提高；跌破支撐則轉觀察。",主升多,多｜強多,多｜強多,放量｜RV 2.60x｜沿短均線攻擊,記憶體,0,一般整理
5351 鈺創,記憶體,88.6,83,主升多｜空間緊,🌤 觀察盤,temp-neutral,初升,91.26(保守壓力),84.66(MA20) / 83.7(30M平台),0.68,<div class='layer'><span class='layer-label'>日K</span><span class='layer-text'>多｜強多</span></div><div class='layer'><span class='layer-label'>30M</span><span class='layer-text'>多｜偏多</span></div><div class='layer'><span class='layer-label'>位階</span><span class='layer-text'>中繼位階</span></div><div class='layer'><span class='layer-label'>節奏</span><span class='layer-text'>放量｜RV 1.64x</span></div><div class='layer'><span class='layer-label'>情緒</span><span class='layer-text'>🌤 觀察盤</span></div>,資金開始集中，整理後仍有續攻味道。<br>目前較適合觀察確認。 空間偏緊，較像要先等確認的盤。 雖然結構偏強，但這個位置先不要把它當成好追價點。,"方向：多方續強
關鍵：守住 84.66(MA20) / 83.7(30M平台)，突破 91.26(保守壓力)，RR 偏緊
劇本：若帶量站上壓力，續攻機率提高；跌破支撐則轉觀察。",主升多,多｜強多,多｜偏多,放量｜RV 1.64x｜沿短均線攻擊,記憶體,0,一般整理
2441 超豐,封測,125.0,82,多方回檔｜看關鍵位,🌤 觀察盤,temp-neutral,洗盤,126.5(30M平台) / 131.5(前高),123.5(30M平台) / 123.5(前低),1.00,<div class='layer'><span class='layer-label'>日K</span><span class='layer-text'>多｜偏多</span></div><div class='layer'><span class='layer-label'>30M</span><span class='layer-text'>空｜偏空</span></div><div class='layer'><span class='layer-label'>位階</span><span class='layer-text'>高檔延伸</span></div><div class='layer'><span class='layer-label'>節奏</span><span class='layer-text'>放量｜RV 3.03x</span></div><div class='layer'><span class='layer-label'>情緒</span><span class='layer-text'>🌤 觀察盤</span></div>,短線壓回但承接尚在，較像換手整理。<br>目前較適合觀察確認。 追價報酬效率普通，宜等更明確的突破。 量縮壓縮味道明顯，等待方向確認即可。,"方向：觀察整理
關鍵：守住 123.5(30M平台) / 123.5(前低)，突破 126.5(30M平台) / 131.5(前高)
劇本：先看支撐是否守穩；重新站回壓力才提高攻擊假設。 量縮等待表態。",多方回檔,多｜偏多,空｜偏空,放量｜RV 3.03x｜均線下彎,封測,3,量縮壓縮
1536 和大,機器人,49.5,81,空方壓縮｜等方向,🌫 等待盤,temp-cool,空方壓縮,49.7(30M平台) / 50.5(前高),48.65(前低) / 48.65(30M平台),4.25,<div class='layer'><span class='layer-label'>日K</span><span class='layer-text'>空｜強空</span></div><div class='layer'><span class='layer-label'>30M</span><span class='layer-text'>空｜偏多</span></div><div class='layer'><span class='layer-label'>位階</span><span class='layer-text'>均線附近</span></div><div class='layer'><span class='layer-label'>節奏</span><span class='layer-text'>放量｜RV 2.40x</span></div><div class='layer'><span class='layer-label'>情緒</span><span class='layer-text'>🌫 等待盤</span></div>,空方整理中，若支撐守不住，往下可能加速。<br>市場還在收斂，等確認後再看。 空間條件不差，若結構延續，仍有操作彈性。 量縮壓縮味道明顯，等待方向確認即可。,"方向：盤整待變
關鍵：守住 48.65(前低) / 48.65(30M平台)，突破 49.7(30M平台) / 50.5(前高)，RR 佳
劇本：等待壓力或支撐其中一邊被確認，再決定追蹤方向。 量縮等待表態。",空方壓縮,空｜強空,空｜偏多,放量｜RV 2.40x｜橫向整理,機器人,6,量縮壓縮
5469 瀚宇博,PCB載板材料,83.2,81,多方壓縮｜等方向,🌤 觀察盤,temp-neutral,壓縮等待,83.3(30M平台) / 84(前高),82.9(MA20) / 80.1(30M平台),0.33,<div class='layer'><span class='layer-label'>日K</span><span class='layer-text'>多｜偏空</span></div><div class='layer'><span class='layer-label'>30M</span><span class='layer-text'>多｜偏多</span></div><div class='layer'><span class='layer-label'>位階</span><span class='layer-text'>均線附近</span></div><div class='layer'><span class='layer-label'>節奏</span><span class='layer-text'>放量｜RV 1.46x</span></div><div class='layer'><span class='layer-label'>情緒</span><span class='layer-text'>🌤 觀察盤</span></div>,價格先收斂，市場在等方向表態。<br>目前較適合觀察確認。 空間偏緊，較像要先等確認的盤。 量縮壓縮味道明顯，等待方向確認即可。,"方向：多方續強
關鍵：守住 82.9(MA20) / 80.1(30M平台)，突破 83.3(30M平台) / 84(前高)，RR 偏緊
劇本：若帶量站上壓力，續攻機率提高；跌破支撐則轉觀察。 量縮等待表態。",多方壓縮,多｜偏空,多｜偏多,放量｜RV 1.46x｜沿短均線攻擊,PCB載板材料,2,量縮壓縮
3163 波若威,光通訊,982.0,79,空方壓縮｜等方向,🌫 等待盤,temp-cool,空方壓縮,983(30M平台) / 1020(前高),955(30M平台) / 955(前低),27.00,<div class='layer'><span class='layer-label'>日K</span><span class='layer-text'>空｜強空</span></div><div class='layer'><span class='layer-label'>30M</span><span class='layer-text'>空｜偏多</span></div><div class='layer'><span class='layer-label'>位階</span><span class='layer-text'>中繼位階</span></div><div class='layer'><span class='layer-label'>節奏</span><span class='layer-text'>放量｜RV 3.27x</span></div><div class='layer'><span class='layer-label'>情緒</span><span class='layer-text'>🌫 等待盤</span></div>,空方整理中，若支撐守不住，往下可能加速。<br>市場還在收斂，等確認後再看。 空間條件不差，若結構延續，仍有操作彈性。 量縮壓縮味道明顯，等待方向確認即可。,"方向：盤整待變
關鍵：守住 955(30M平台) / 955(前低)，突破 983(30M平台) / 1020(前高)，RR 佳
劇本：等待壓力或支撐其中一邊被確認，再決定追蹤方向。 量縮等待表態。",空方壓縮,空｜強空,空｜偏多,放量｜RV 3.27x｜橫向整理,光通訊,6,量縮壓縮
2451 創見,記憶體,306.0,79,空方壓縮｜等方向,🌫 等待盤,temp-cool,空方壓縮,306.5(30M平台) / 321.5(前高),294.5(30M平台) / 294.5(前低),23.00,<div class='layer'><span class='layer-label'>日K</span><span class='layer-text'>空｜偏空</span></div><div class='layer'><span class='layer-label'>30M</span><span class='layer-text'>空｜偏多</span></div><div class='layer'><span class='layer-label'>位階</span><span class='layer-text'>中繼位階</span></div><div class='layer'><span class='layer-label'>節奏</span><span class='layer-text'>放量｜RV 4.03x</span></div><div class='layer'><span class='layer-label'>情緒</span><span class='layer-text'>🌫 等待盤</span></div>,空方整理中，若支撐守不住，往下可能加速。<br>市場還在收斂，等確認後再看。 空間條件不差，若結構延續，仍有操作彈性。 量縮壓縮味道明顯，等待方向確認即可。,"方向：盤整待變
關鍵：守住 294.5(30M平台) / 294.5(前低)，突破 306.5(30M平台) / 321.5(前高)，RR 佳
劇本：等待壓力或支撐其中一邊被確認，再決定追蹤方向。 量縮等待表態。",空方壓縮,空｜偏空,空｜偏多,放量｜RV 4.03x｜橫向整理,記憶體,6,量縮壓縮
6526 達發,ASIC,649.0,79,空方壓縮｜等方向,🌫 等待盤,temp-cool,空方壓縮,652(30M平台) / 669(前高),627(前低) / 627(30M平台),7.33,<div class='layer'><span class='layer-label'>日K</span><span class='layer-text'>空｜偏空</span></div><div class='layer'><span class='layer-label'>30M</span><span class='layer-text'>空｜偏多</span></div><div class='layer'><span class='layer-label'>位階</span><span class='layer-text'>中繼位階</span></div><div class='layer'><span class='layer-label'>節奏</span><span class='layer-text'>放量｜RV 3.33x</span></div><div class='layer'><span class='layer-label'>情緒</span><span class='layer-text'>🌫 等待盤</span></div>,空方整理中，若支撐守不住，往下可能加速。<br>市場還在收斂，等確認後再看。 空間條件不差，若結構延續，仍有操作彈性。 量縮壓縮味道明顯，等待方向確認即可。,"方向：盤整待變
關鍵：守住 627(前低) / 627(30M平台)，突破 652(30M平台) / 669(前高)，RR 佳
劇本：等待壓力或支撐其中一邊被確認，再決定追蹤方向。 量縮等待表態。",空方壓縮,空｜偏空,空｜偏多,放量｜RV 3.33x｜沿短均線攻擊,ASIC,6,量縮壓縮
3264 欣銓,"自選題材,自選",216.5,79,空方壓縮｜等方向,🌫 等待盤,temp-cool,空方壓縮,217.5(30M平台) / 228.5(前高),211(前低) / 210.5(30M平台),5.50,<div class='layer'><span class='layer-label'>日K</span><span class='layer-text'>空｜偏空</span></div><div class='layer'><span class='layer-label'>30M</span><span class='layer-text'>空｜偏多</span></div><div class='layer'><span class='layer-label'>位階</span><span class='layer-text'>中繼位階</span></div><div class='layer'><span class='layer-label'>節奏</span><span class='layer-text'>放量｜RV 2.85x</span></div><div class='layer'><span class='layer-label'>情緒</span><span class='layer-text'>🌫 等待盤</span></div>,空方整理中，若支撐守不住，往下可能加速。<br>市場還在收斂，等確認後再看。 空間條件不差，若結構延續，仍有操作彈性。 量縮壓縮味道明顯，等待方向確認即可。,"方向：盤整待變
關鍵：守住 211(前低) / 210.5(30M平台)，突破 217.5(30M平台) / 228.5(前高)，RR 佳
劇本：等待壓力或支撐其中一邊被確認，再決定追蹤方向。 量縮等待表態。",空方壓縮,空｜偏空,空｜偏多,放量｜RV 2.85x｜橫向整理,"自選題材,自選",6,量縮壓縮
4571 鈞興-KY,機器人,191.0,77,空方壓縮｜等方向,🌫 等待盤,temp-cool,空方壓縮,192.5(30M平台) / 195(前高),185.27(保守支撐),3.82,<div class='layer'><span class='layer-label'>日K</span><span class='layer-text'>空｜偏空</span></div><div class='layer'><span class='layer-label'>30M</span><span class='layer-text'>空｜強空</span></div><div class='layer'><span class='layer-label'>位階</span><span class='layer-text'>中繼位階</span></div><div class='layer'><span class='layer-label'>節奏</span><span class='layer-text'>放量｜RV 3.68x</span></div><div class='layer'><span class='layer-label'>情緒</span><span class='layer-text'>🌫 等待盤</span></div>,空方整理中，若支撐守不住，往下可能加速。<br>市場還在收斂，等確認後再看。 空間條件不差，若結構延續，仍有操作彈性。 量縮壓縮味道明顯，等待方向確認即可。,"方向：盤整待變
關鍵：守住 185.27(保守支撐)，突破 192.5(30M平台) / 195(前高)，RR 佳
劇本：等待壓力或支撐其中一邊被確認，再決定追蹤方向。 量縮等待表態。",空方壓縮,空｜偏空,空｜強空,放量｜RV 3.68x｜均線下彎,機器人,6,量縮壓縮
3017 奇鋐,散熱液冷,2545.0,77,空方壓縮｜等方向,🌫 等待盤,temp-cool,空方壓縮,2570(30M平台) / 2600(前高),2495(30M平台),2.00,<div class='layer'><span class='layer-label'>日K</span><span class='layer-text'>空｜偏多</span></div><div class='layer'><span class='layer-label'>30M</span><span class='layer-text'>空｜偏空</span></div><div class='layer'><span class='layer-label'>位階</span><span class='layer-text'>均線附近</span></div><div class='layer'><span class='layer-label'>節奏</span><span class='layer-text'>放量｜RV 3.01x</span></div><div class='layer'><span class='layer-label'>情緒</span><span class='layer-text'>🌫 等待盤</span></div>,空方整理中，若支撐守不住，往下可能加速。<br>市場還在收斂，等確認後再看。 量縮壓縮味道明顯，等待方向確認即可。,"方向：盤整待變
關鍵：守住 2495(30M平台)，突破 2570(30M平台) / 2600(前高)，RR 佳
劇本：等待壓力或支撐其中一邊被確認，再決定追蹤方向。 量縮等待表態。",空方壓縮,空｜偏多,空｜偏空,放量｜RV 3.01x｜橫向整理,散熱液冷,6,量縮壓縮
