股票,族群,現價,AI分數,交易狀態,市場溫度,市場溫度類別,市場狀態,壓力,支撐,RR,多週期判讀,情境提醒,AI策略劇本,結構結果,日K方向,30分K方向,量價判讀,_cats,_sort,主力痕跡
3324 雙鴻,散熱液冷,1145.0,91,空方反彈｜看關鍵位,🌤 觀察盤,temp-neutral,反彈,1160(30M平台),1065(30M平台) / 1040.6(MA20),5.33,<div class='layer'><span class='layer-label'>日K</span><span class='layer-text'>空｜強多</span></div><div class='layer'><span class='layer-label'>30M</span><span class='layer-text'>多｜強多</span></div><div class='layer'><span class='layer-label'>位階</span><span class='layer-text'>中繼位階</span></div><div class='layer'><span class='layer-label'>節奏</span><span class='layer-text'>放量｜RV 2.83x</span></div><div class='layer'><span class='layer-label'>情緒</span><span class='layer-text'>🌤 觀察盤</span></div>,屬於修復性反彈，重點看壓力能否消化。<br>目前較適合觀察確認。 空間條件不差，若結構延續，仍有操作彈性。,"方向：觀察整理
關鍵：守住 1065(30M平台) / 1040.6(MA20)，突破 1160(30M平台)，RR 佳
劇本：先看支撐是否守穩；重新站回壓力才提高攻擊假設。",空方反彈,空｜強多,多｜強多,放量｜RV 2.83x｜沿短均線攻擊,散熱液冷,5,一般整理
3017 奇鋐,散熱液冷,2785.0,91,空方反彈｜看關鍵位,🌤 觀察盤,temp-neutral,反彈,2835(30M平台),2665(30M平台) / 2580(前低),2.40,<div class='layer'><span class='layer-label'>日K</span><span class='layer-text'>空｜強多</span></div><div class='layer'><span class='layer-label'>30M</span><span class='layer-text'>多｜強多</span></div><div class='layer'><span class='layer-label'>位階</span><span class='layer-text'>中繼位階</span></div><div class='layer'><span class='layer-label'>節奏</span><span class='layer-text'>放量｜RV 3.49x</span></div><div class='layer'><span class='layer-label'>情緒</span><span class='layer-text'>🌤 觀察盤</span></div>,屬於修復性反彈，重點看壓力能否消化。<br>目前較適合觀察確認。 量縮壓縮味道明顯，等待方向確認即可。,"方向：觀察整理
關鍵：守住 2665(30M平台) / 2580(前低)，突破 2835(30M平台)，RR 佳
劇本：先看支撐是否守穩；重新站回壓力才提高攻擊假設。 量縮等待表態。",空方反彈,空｜強多,多｜強多,放量｜RV 3.49x｜均線上彎,散熱液冷,5,量縮壓縮
4967 十銓,記憶體,289.0,91,主升多｜空間緊,🌤 觀察盤,temp-neutral,初升,289.5(30M平台),278.88(MA20) / 275.5(30M平台),0.05,<div class='layer'><span class='layer-label'>日K</span><span class='layer-text'>多｜強多</span></div><div class='layer'><span class='layer-label'>30M</span><span class='layer-text'>多｜強多</span></div><div class='layer'><span class='layer-label'>位階</span><span class='layer-text'>中繼位階</span></div><div class='layer'><span class='layer-label'>節奏</span><span class='layer-text'>放量｜RV 1.88x</span></div><div class='layer'><span class='layer-label'>情緒</span><span class='layer-text'>🌤 觀察盤</span></div>,資金開始集中，整理後仍有續攻味道。<br>目前較適合觀察確認。 空間偏緊，較像要先等確認的盤。 雖然結構偏強，但這個位置先不要把它當成好追價點。,"方向：多方續強
關鍵：守住 278.88(MA20) / 275.5(30M平台)，突破 289.5(30M平台)，RR 偏緊
劇本：若帶量站上壓力，續攻機率提高；跌破支撐則轉觀察。",主升多,多｜強多,多｜強多,放量｜RV 1.88x｜沿短均線攻擊,記憶體,0,短線轉強
2441 超豐,封測,137.5,90,多方回檔｜看關鍵位,🌤 觀察盤,temp-neutral,洗盤,141.5(前高) / 142.5(30M平台),137(30M平台) / 110.84(MA20),8.00,<div class='layer'><span class='layer-label'>日K</span><span class='layer-text'>多｜強多</span></div><div class='layer'><span class='layer-label'>30M</span><span class='layer-text'>空｜偏空</span></div><div class='layer'><span class='layer-label'>位階</span><span class='layer-text'>高檔延伸</span></div><div class='layer'><span class='layer-label'>節奏</span><span class='layer-text'>放量｜RV 2.04x</span></div><div class='layer'><span class='layer-label'>情緒</span><span class='layer-text'>🌤 觀察盤</span></div>,短線壓回但承接尚在，較像換手整理。<br>目前較適合觀察確認。 空間條件不差，若結構延續，仍有操作彈性。 量縮壓縮味道明顯，等待方向確認即可。,"方向：觀察整理
關鍵：守住 137(30M平台) / 110.84(MA20)，突破 141.5(前高) / 142.5(30M平台)，RR 佳
劇本：先看支撐是否守穩；重新站回壓力才提高攻擊假設。 量縮等待表態。",多方回檔,多｜強多,空｜偏空,放量｜RV 2.04x｜沿短均線下殺,封測,3,量縮壓縮
6274 台燿,PCB載板材料,1705.0,90,末升段｜等突破,🟠 偏熱盤,temp-warm,末升,1795(30M平台),1690(30M平台) / 1540(前低),6.00,<div class='layer'><span class='layer-label'>日K</span><span class='layer-text'>多｜強多</span></div><div class='layer'><span class='layer-label'>30M</span><span class='layer-text'>多｜偏多</span></div><div class='layer'><span class='layer-label'>位階</span><span class='layer-text'>高檔延伸</span></div><div class='layer'><span class='layer-label'>節奏</span><span class='layer-text'>放量｜RV 1.95x</span></div><div class='layer'><span class='layer-label'>情緒</span><span class='layer-text'>🟠 偏熱盤</span></div>,漲勢仍在，但尾段容易出現震盪。<br>趨勢仍在，但短線已開始偏熱。 空間條件不差，若結構延續，仍有操作彈性。,"方向：高檔震盪
關鍵：守住 1690(30M平台) / 1540(前低)，突破 1795(30M平台)，RR 佳
劇本：若量能無法延續，不追高；失守支撐先控風險。",末升段,多｜強多,多｜偏多,放量｜RV 1.95x｜均線上彎,PCB載板材料,1,一般整理
2301 光寶科,AI伺服器,234.5,90,多方回檔｜看關鍵位,🌤 觀察盤,temp-neutral,洗盤,238.5(30M平台),233.5(30M平台) / 230.5(前低),4.00,<div class='layer'><span class='layer-label'>日K</span><span class='layer-text'>多｜強多</span></div><div class='layer'><span class='layer-label'>30M</span><span class='layer-text'>空｜偏多</span></div><div class='layer'><span class='layer-label'>位階</span><span class='layer-text'>高檔延伸</span></div><div class='layer'><span class='layer-label'>節奏</span><span class='layer-text'>放量｜RV 3.04x</span></div><div class='layer'><span class='layer-label'>情緒</span><span class='layer-text'>🌤 觀察盤</span></div>,短線壓回但承接尚在，較像換手整理。<br>目前較適合觀察確認。 空間條件不差，若結構延續，仍有操作彈性。 量縮壓縮味道明顯，等待方向確認即可。,"方向：觀察整理
關鍵：守住 233.5(30M平台) / 230.5(前低)，突破 238.5(30M平台)，RR 佳
劇本：先看支撐是否守穩；重新站回壓力才提高攻擊假設。 量縮等待表態。",多方回檔,多｜強多,空｜偏多,放量｜RV 3.04x｜橫向整理,AI伺服器,3,量縮壓縮
2458 義隆,MCU,167.0,90,多方壓縮｜等方向,🌤 觀察盤,temp-neutral,壓縮等待,172.01(保守壓力),162(30M平台) / 161(前低),1.00,<div class='layer'><span class='layer-label'>日K</span><span class='layer-text'>多｜強多</span></div><div class='layer'><span class='layer-label'>30M</span><span class='layer-text'>多｜強多</span></div><div class='layer'><span class='layer-label'>位階</span><span class='layer-text'>中繼位階</span></div><div class='layer'><span class='layer-label'>節奏</span><span class='layer-text'>量縮｜RV 1.04x</span></div><div class='layer'><span class='layer-label'>情緒</span><span class='layer-text'>🌤 觀察盤</span></div>,價格先收斂，市場在等方向表態。<br>目前較適合觀察確認。 追價報酬效率普通，宜等更明確的突破。 量縮壓縮味道明顯，等待方向確認即可。,"方向：多方續強
關鍵：守住 162(30M平台) / 161(前低)，突破 172.01(保守壓力)
劇本：若帶量站上壓力，續攻機率提高；跌破支撐則轉觀察。 量縮等待表態。",多方壓縮,多｜強多,多｜強多,量縮｜RV 1.04x｜沿短均線攻擊,MCU,2,量縮壓縮
2383 台光電,PCB載板材料,5070.0,88,多方回檔｜看關鍵位,🌤 觀察盤,temp-neutral,洗盤,5120(前高) / 5175(30M平台),5055(前低) / 5000(30M平台),3.33,<div class='layer'><span class='layer-label'>日K</span><span class='layer-text'>多｜強多</span></div><div class='layer'><span class='layer-label'>30M</span><span class='layer-text'>空｜強空</span></div><div class='layer'><span class='layer-label'>位階</span><span class='layer-text'>高檔延伸</span></div><div class='layer'><span class='layer-label'>節奏</span><span class='layer-text'>放量｜RV 4.56x</span></div><div class='layer'><span class='layer-label'>情緒</span><span class='layer-text'>🌤 觀察盤</span></div>,短線壓回但承接尚在，較像換手整理。<br>目前較適合觀察確認。 空間條件不差，若結構延續，仍有操作彈性。 量縮壓縮味道明顯，等待方向確認即可。,"方向：觀察整理
關鍵：守住 5055(前低) / 5000(30M平台)，突破 5120(前高) / 5175(30M平台)，RR 佳
劇本：先看支撐是否守穩；重新站回壓力才提高攻擊假設。 量縮等待表態。",多方回檔,多｜強多,空｜強空,放量｜RV 4.56x｜均線下彎,PCB載板材料,3,量縮壓縮
1536 和大,機器人,53.9,87,空方反彈｜看關鍵位,🌤 觀察盤,temp-neutral,反彈,54.5(30M平台),52.6(30M平台) / 52.15(MA20),2.17,<div class='layer'><span class='layer-label'>日K</span><span class='layer-text'>空｜強多</span></div><div class='layer'><span class='layer-label'>30M</span><span class='layer-text'>多｜強多</span></div><div class='layer'><span class='layer-label'>位階</span><span class='layer-text'>中繼位階</span></div><div class='layer'><span class='layer-label'>節奏</span><span class='layer-text'>放量｜RV 2.27x</span></div><div class='layer'><span class='layer-label'>情緒</span><span class='layer-text'>🌤 觀察盤</span></div>,屬於修復性反彈，重點看壓力能否消化。<br>目前較適合觀察確認。,"方向：觀察整理
關鍵：守住 52.6(30M平台) / 52.15(MA20)，突破 54.5(30M平台)，RR 佳
劇本：先看支撐是否守穩；重新站回壓力才提高攻擊假設。",空方反彈,空｜強多,多｜強多,放量｜RV 2.27x｜沿短均線攻擊,機器人,5,一般整理
8255 朋程,"車電功率,自選",186.0,86,多方回檔｜看關鍵位,🌤 觀察盤,temp-neutral,洗盤,199.5(前高) / 199.5(30M平台),184.5(前低) / 183.5(30M平台),9.00,<div class='layer'><span class='layer-label'>日K</span><span class='layer-text'>多｜強多</span></div><div class='layer'><span class='layer-label'>30M</span><span class='layer-text'>空｜偏空</span></div><div class='layer'><span class='layer-label'>位階</span><span class='layer-text'>高檔延伸</span></div><div class='layer'><span class='layer-label'>節奏</span><span class='layer-text'>放量｜RV 2.70x</span></div><div class='layer'><span class='layer-label'>情緒</span><span class='layer-text'>🌤 觀察盤</span></div>,短線壓回但承接尚在，較像換手整理。<br>目前較適合觀察確認。 空間條件不差，若結構延續，仍有操作彈性。,"方向：觀察整理
關鍵：守住 184.5(前低) / 183.5(30M平台)，突破 199.5(前高) / 199.5(30M平台)，RR 佳
劇本：先看支撐是否守穩；重新站回壓力才提高攻擊假設。",多方回檔,多｜強多,空｜偏空,放量｜RV 2.70x｜沿短均線下殺,"車電功率,自選",3,一般整理
6271 同欣電,封測,247.5,86,多方回檔｜看關鍵位,🌤 觀察盤,temp-neutral,洗盤,250.5(30M平台),246(30M平台) / 244.5(前低),2.00,<div class='layer'><span class='layer-label'>日K</span><span class='layer-text'>多｜強多</span></div><div class='layer'><span class='layer-label'>30M</span><span class='layer-text'>空｜偏多</span></div><div class='layer'><span class='layer-label'>位階</span><span class='layer-text'>高檔延伸</span></div><div class='layer'><span class='layer-label'>節奏</span><span class='layer-text'>放量｜RV 2.62x</span></div><div class='layer'><span class='layer-label'>情緒</span><span class='layer-text'>🌤 觀察盤</span></div>,短線壓回但承接尚在，較像換手整理。<br>目前較適合觀察確認。 量縮壓縮味道明顯，等待方向確認即可。,"方向：觀察整理
關鍵：守住 246(30M平台) / 244.5(前低)，突破 250.5(30M平台)，RR 佳
劇本：先看支撐是否守穩；重新站回壓力才提高攻擊假設。 量縮等待表態。",多方回檔,多｜強多,空｜偏多,放量｜RV 2.62x｜均線下彎,封測,3,量縮壓縮
3706 神達,AI伺服器,93.5,86,主升多｜空間緊,🌤 觀察盤,temp-neutral,初升,93.9(30M平台),88.8(30M平台) / 84.97(MA20),0.09,<div class='layer'><span class='layer-label'>日K</span><span class='layer-text'>多｜強多</span></div><div class='layer'><span class='layer-label'>30M</span><span class='layer-text'>多｜強多</span></div><div class='layer'><span class='layer-label'>位階</span><span class='layer-text'>中繼位階</span></div><div class='layer'><span class='layer-label'>節奏</span><span class='layer-text'>放量｜RV 2.78x</span></div><div class='layer'><span class='layer-label'>情緒</span><span class='layer-text'>🌤 觀察盤</span></div>,資金開始集中，整理後仍有續攻味道。<br>目前較適合觀察確認。 空間偏緊，較像要先等確認的盤。 雖然結構偏強，但這個位置先不要把它當成好追價點。,"方向：多方續強
關鍵：守住 88.8(30M平台) / 84.97(MA20)，突破 93.9(30M平台)，RR 偏緊
劇本：若帶量站上壓力，續攻機率提高；跌破支撐則轉觀察。",主升多,多｜強多,多｜強多,放量｜RV 2.78x｜沿短均線攻擊,AI伺服器,0,一般整理
6669 緯穎,AI伺服器,5515.0,84,末升段｜等突破,🟠 偏熱盤,temp-warm,末升,5625(30M平台),5445(30M平台) / 5235(MA20),1.57,<div class='layer'><span class='layer-label'>日K</span><span class='layer-text'>多｜強多</span></div><div class='layer'><span class='layer-label'>30M</span><span class='layer-text'>多｜強多</span></div><div class='layer'><span class='layer-label'>位階</span><span class='layer-text'>高檔延伸</span></div><div class='layer'><span class='layer-label'>節奏</span><span class='layer-text'>放量｜RV 4.18x</span></div><div class='layer'><span class='layer-label'>情緒</span><span class='layer-text'>🟠 偏熱盤</span></div>,漲勢仍在，但尾段容易出現震盪。<br>趨勢仍在，但短線已開始偏熱。,"方向：高檔震盪
關鍵：守住 5445(30M平台) / 5235(MA20)，突破 5625(30M平台)
劇本：若量能無法延續，不追高；失守支撐先控風險。",末升段,多｜強多,多｜強多,放量｜RV 4.18x｜均線上彎,AI伺服器,1,一般整理
6147 頎邦,封測,285.5,83,多方回檔｜看關鍵位,🌤 觀察盤,temp-neutral,洗盤,305.5(30M平台) / 305.5(前高),284.5(30M平台) / 278(前低),20.00,<div class='layer'><span class='layer-label'>日K</span><span class='layer-text'>多｜強多</span></div><div class='layer'><span class='layer-label'>30M</span><span class='layer-text'>空｜偏空</span></div><div class='layer'><span class='layer-label'>位階</span><span class='layer-text'>高檔延伸</span></div><div class='layer'><span class='layer-label'>節奏</span><span class='layer-text'>放量｜RV 1.47x</span></div><div class='layer'><span class='layer-label'>情緒</span><span class='layer-text'>🌤 觀察盤</span></div>,短線壓回但承接尚在，較像換手整理。<br>目前較適合觀察確認。 空間條件不差，若結構延續，仍有操作彈性。,"方向：觀察整理
關鍵：守住 284.5(30M平台) / 278(前低)，突破 305.5(30M平台) / 305.5(前高)，RR 佳
劇本：先看支撐是否守穩；重新站回壓力才提高攻擊假設。",多方回檔,多｜強多,空｜偏空,放量｜RV 1.47x｜沿短均線下殺,封測,3,一般整理
8150 南茂,封測,106.5,82,多方回檔｜看關鍵位,🌤 觀察盤,temp-neutral,洗盤,113(30M平台) / 113(前高),103.5(30M平台) / 103(前低),2.17,<div class='layer'><span class='layer-label'>日K</span><span class='layer-text'>多｜強多</span></div><div class='layer'><span class='layer-label'>30M</span><span class='layer-text'>空｜偏空</span></div><div class='layer'><span class='layer-label'>位階</span><span class='layer-text'>高檔延伸</span></div><div class='layer'><span class='layer-label'>節奏</span><span class='layer-text'>放量｜RV 2.96x</span></div><div class='layer'><span class='layer-label'>情緒</span><span class='layer-text'>🌤 觀察盤</span></div>,短線壓回但承接尚在，較像換手整理。<br>目前較適合觀察確認。,"方向：觀察整理
關鍵：守住 103.5(30M平台) / 103(前低)，突破 113(30M平台) / 113(前高)，RR 佳
劇本：先看支撐是否守穩；重新站回壓力才提高攻擊假設。",多方回檔,多｜強多,空｜偏空,放量｜RV 2.96x｜沿短均線下殺,封測,3,一般整理
2363 矽統,ASIC,67.1,82,多方回檔｜看關鍵位,🌤 觀察盤,temp-neutral,洗盤,67.5(大量K) / 68.2(30M平台),66.9(30M平台) / 66.8(大量K),2.00,<div class='layer'><span class='layer-label'>日K</span><span class='layer-text'>多｜強多</span></div><div class='layer'><span class='layer-label'>30M</span><span class='layer-text'>空｜偏空</span></div><div class='layer'><span class='layer-label'>位階</span><span class='layer-text'>高檔延伸</span></div><div class='layer'><span class='layer-label'>節奏</span><span class='layer-text'>放量｜RV 1.86x</span></div><div class='layer'><span class='layer-label'>情緒</span><span class='layer-text'>🌤 觀察盤</span></div>,短線壓回但承接尚在，較像換手整理。<br>目前較適合觀察確認。,"方向：觀察整理
關鍵：守住 66.9(30M平台) / 66.8(大量K)，突破 67.5(大量K) / 68.2(30M平台)，RR 佳
劇本：先看支撐是否守穩；重新站回壓力才提高攻擊假設。",多方回檔,多｜強多,空｜偏空,放量｜RV 1.86x｜橫向整理,ASIC,3,一般整理
