股票,族群,現價,AI分數,交易狀態,市場溫度,市場溫度類別,多週期判讀,情境提醒,AI策略劇本,壓力,支撐,壓力 / 支撐,RR,結構結果,日K方向,30分K方向,量價判讀,_cats,_sort
3231 緯創,AI伺服器,144.5,100,多方壓縮｜等方向,🔥 攻擊盤,temp-hot,<div class='layer'><span class='layer-label'>日K</span><span class='layer-text'>多｜偏多</span></div><div class='layer'><span class='layer-label'>30M</span><span class='layer-text'>多｜強多</span></div><div class='layer'><span class='layer-label'>位階</span><span class='layer-text'>中繼位階</span></div><div class='layer'><span class='layer-label'>量能</span><span class='layer-text'>放量｜RV 4.49x</span></div><div class='layer'><span class='layer-label'>族群</span><span class='layer-text'>AI伺服器</span></div>,價格先收斂，市場在等方向表態，這類盤最怕提早猜。<br>盤面偏積極，若明日維持量能，續強機率較高。 量縮壓縮味道明顯，等待方向確認即可。,"
<div class=""script-wrap"">
  <div class=""script-core"">🟢 續強劇本</div>

  <div class=""script-line"">
    <span class=""line-label line-green"">做法</span>
    <span class=""line-text"">若開盤守住 140.15(MA20) / 140(30M平台)，可先把它視為延續觀察。</span>
  </div>

  <div class=""script-line"">
    <span class=""line-label line-red"">防守</span>
    <span class=""line-text"">若跌回 140.15(MA20) / 140(30M平台) 下方且無法快速收復，節奏會先轉弱。</span>
  </div>

  <div class=""script-line"">
    <span class=""line-label line-blue"">目標</span>
    <span class=""line-text"">上方先看 148.84(保守壓力)；若能帶量穿越，代表攻擊延續。</span>
  </div>

  <div class=""script-row"">
    <span class=""tag tag-green"">明日若直接跳空過大，先不追價。</span>
  </div>

  <div class=""script-summary"">目前屬於偏積極的結構，空間普通，以守支撐觀察續攻為主。</div>
</div>
",148.84(保守壓力),140.15(MA20) / 140(30M平台),148.84(保守壓力) / 140.15(MA20) / 140(30M平台),1.00,多方壓縮,多｜偏多,多｜強多,放量｜RV 4.49x｜沿短均線攻擊,AI伺服器,2
2382 廣達,AI伺服器,316.0,97,空方反彈｜看關鍵位,🌤 觀察盤,temp-neutral,<div class='layer'><span class='layer-label'>日K</span><span class='layer-text'>空｜偏空</span></div><div class='layer'><span class='layer-label'>30M</span><span class='layer-text'>多｜強多</span></div><div class='layer'><span class='layer-label'>位階</span><span class='layer-text'>均線附近</span></div><div class='layer'><span class='layer-label'>量能</span><span class='layer-text'>放量｜RV 2.66x</span></div><div class='layer'><span class='layer-label'>族群</span><span class='layer-text'>AI伺服器</span></div>,屬於修復性反彈，重點在壓力是否能真正被消化。<br>目前較適合觀察確認，不宜太早預設方向。 量縮壓縮味道明顯，等待方向確認即可。,"
<div class=""script-wrap"">
  <div class=""script-core"">🌤 觀察劇本</div>

  <div class=""script-line"">
    <span class=""line-label line-green"">做法</span>
    <span class=""line-text"">先看 308(30M平台) / 290(前低) 是否守穩，若快速收回，較像整理或洗盤。</span>
  </div>

  <div class=""script-line"">
    <span class=""line-label line-red"">防守</span>
    <span class=""line-text"">若連 308(30M平台) / 290(前低) 都守不住，反彈容易失真。</span>
  </div>

  <div class=""script-line"">
    <span class=""line-label line-blue"">目標</span>
    <span class=""line-text"">上方先看 316.5(30M平台) 是否被消化。</span>
  </div>

  <div class=""script-row"">
    <span class=""tag tag-green"">明日若直接跳空過大，先不追價。</span>
  </div>

  <div class=""script-summary"">這一段重點不在追價，而在看賣壓有沒有真正降下來。</div>
</div>
",316.5(30M平台),308(30M平台) / 290(前低),316.5(30M平台) / 308(30M平台) / 290(前低),16.00,空方反彈,空｜偏空,多｜強多,放量｜RV 2.66x｜沿短均線攻擊,AI伺服器,5
5469 瀚宇博,PCB,82.9,97,空方反彈｜看關鍵位,🌤 觀察盤,temp-neutral,<div class='layer'><span class='layer-label'>日K</span><span class='layer-text'>空｜偏空</span></div><div class='layer'><span class='layer-label'>30M</span><span class='layer-text'>多｜強多</span></div><div class='layer'><span class='layer-label'>位階</span><span class='layer-text'>均線附近</span></div><div class='layer'><span class='layer-label'>量能</span><span class='layer-text'>放量｜RV 2.27x</span></div><div class='layer'><span class='layer-label'>族群</span><span class='layer-text'>PCB</span></div>,屬於修復性反彈，重點在壓力是否能真正被消化。<br>目前較適合觀察確認，不宜太早預設方向。 量縮壓縮味道明顯，等待方向確認即可。,"
<div class=""script-wrap"">
  <div class=""script-core"">🌤 觀察劇本</div>

  <div class=""script-line"">
    <span class=""line-label line-green"">做法</span>
    <span class=""line-text"">先看 81.6(30M平台) / 79(前低) 是否守穩，若快速收回，較像整理或洗盤。</span>
  </div>

  <div class=""script-line"">
    <span class=""line-label line-red"">防守</span>
    <span class=""line-text"">若連 81.6(30M平台) / 79(前低) 都守不住，反彈容易失真。</span>
  </div>

  <div class=""script-line"">
    <span class=""line-label line-blue"">目標</span>
    <span class=""line-text"">上方先看 83.2(30M平台) / 86.53(MA60) 是否被消化。</span>
  </div>

  <div class=""script-row"">
    <span class=""tag tag-green"">明日若直接跳空過大，先不追價。</span>
  </div>

  <div class=""script-summary"">這一段重點不在追價，而在看賣壓有沒有真正降下來。</div>
</div>
",83.2(30M平台) / 86.53(MA60),81.6(30M平台) / 79(前低),83.2(30M平台) / 86.53(MA60) / 81.6(30M平台) / 79(前低),4.33,空方反彈,空｜偏空,多｜強多,放量｜RV 2.27x｜均線上彎,PCB,5
8039 台虹,"PCB,玻纖布",151.0,95,主升多｜等突破,🔥 攻擊盤,temp-hot,"<div class='layer'><span class='layer-label'>日K</span><span class='layer-text'>多｜強多</span></div><div class='layer'><span class='layer-label'>30M</span><span class='layer-text'>多｜強多</span></div><div class='layer'><span class='layer-label'>位階</span><span class='layer-text'>中繼位階</span></div><div class='layer'><span class='layer-label'>量能</span><span class='layer-text'>量增｜RV 1.32x</span></div><div class='layer'><span class='layer-label'>族群</span><span class='layer-text'>PCB,玻纖布</span></div>",買盤仍願意承接，整理後常有再發動的機會，但追價空間開始變得珍貴。<br>盤面偏積極，若明日維持量能，續強機率較高。,"
<div class=""script-wrap"">
  <div class=""script-core"">🟢 續強劇本</div>

  <div class=""script-line"">
    <span class=""line-label line-green"">做法</span>
    <span class=""line-text"">若開盤守住 139(30M平台) / 138.12(MA20)，可先把它視為延續觀察。</span>
  </div>

  <div class=""script-line"">
    <span class=""line-label line-red"">防守</span>
    <span class=""line-text"">若跌回 139(30M平台) / 138.12(MA20) 下方且無法快速收復，節奏會先轉弱。</span>
  </div>

  <div class=""script-line"">
    <span class=""line-label line-blue"">目標</span>
    <span class=""line-text"">上方先看 151.5(30M平台)；若能帶量穿越，代表攻擊延續。</span>
  </div>

  <div class=""script-row"">
    <span class=""tag tag-green"">明日若直接跳空過大，先不追價。</span>
  </div>

  <div class=""script-summary"">目前屬於偏積極的結構，空間普通，以守支撐觀察續攻為主。</div>
</div>
",151.5(30M平台),139(30M平台) / 138.12(MA20),151.5(30M平台) / 139(30M平台) / 138.12(MA20),0.04,主升多,多｜強多,多｜強多,量增｜RV 1.32x｜沿短均線攻擊,"PCB,玻纖布",0
1536 和大,機器人,51.6,95,空方反彈｜看關鍵位,🌤 觀察盤,temp-neutral,<div class='layer'><span class='layer-label'>日K</span><span class='layer-text'>空｜偏空</span></div><div class='layer'><span class='layer-label'>30M</span><span class='layer-text'>多｜強多</span></div><div class='layer'><span class='layer-label'>位階</span><span class='layer-text'>均線附近</span></div><div class='layer'><span class='layer-label'>量能</span><span class='layer-text'>放量｜RV 1.94x</span></div><div class='layer'><span class='layer-label'>族群</span><span class='layer-text'>機器人</span></div>,屬於修復性反彈，重點在壓力是否能真正被消化。<br>目前較適合觀察確認，不宜太早預設方向。 量縮壓縮味道明顯，等待方向確認即可。,"
<div class=""script-wrap"">
  <div class=""script-core"">🌤 觀察劇本</div>

  <div class=""script-line"">
    <span class=""line-label line-green"">做法</span>
    <span class=""line-text"">先看 50.2(30M平台) / 49.1(前低) 是否守穩，若快速收回，較像整理或洗盤。</span>
  </div>

  <div class=""script-line"">
    <span class=""line-label line-red"">防守</span>
    <span class=""line-text"">若連 50.2(30M平台) / 49.1(前低) 都守不住，反彈容易失真。</span>
  </div>

  <div class=""script-line"">
    <span class=""line-label line-blue"">目標</span>
    <span class=""line-text"">上方先看 52(30M平台) / 52.32(MA60) 是否被消化。</span>
  </div>

  <div class=""script-row"">
    <span class=""tag tag-green"">明日若直接跳空過大，先不追價。</span>
  </div>

  <div class=""script-summary"">這一段重點不在追價，而在看賣壓有沒有真正降下來。</div>
</div>
",52(30M平台) / 52.32(MA60),50.2(30M平台) / 49.1(前低),52(30M平台) / 52.32(MA60) / 50.2(30M平台) / 49.1(前低),3.50,空方反彈,空｜偏空,多｜強多,放量｜RV 1.94x｜均線上彎,機器人,5
2449 京元電子,封測,296.0,95,空方反彈｜看關鍵位,🌤 觀察盤,temp-neutral,<div class='layer'><span class='layer-label'>日K</span><span class='layer-text'>空｜偏多</span></div><div class='layer'><span class='layer-label'>30M</span><span class='layer-text'>多｜強多</span></div><div class='layer'><span class='layer-label'>位階</span><span class='layer-text'>均線附近</span></div><div class='layer'><span class='layer-label'>量能</span><span class='layer-text'>放量｜RV 3.26x</span></div><div class='layer'><span class='layer-label'>族群</span><span class='layer-text'>封測</span></div>,屬於修復性反彈，重點在壓力是否能真正被消化。<br>目前較適合觀察確認，不宜太早預設方向。 量縮壓縮味道明顯，等待方向確認即可。,"
<div class=""script-wrap"">
  <div class=""script-core"">🌤 觀察劇本</div>

  <div class=""script-line"">
    <span class=""line-label line-green"">做法</span>
    <span class=""line-text"">先看 286(30M平台) / 277.5(前低) 是否守穩，若快速收回，較像整理或洗盤。</span>
  </div>

  <div class=""script-line"">
    <span class=""line-label line-red"">防守</span>
    <span class=""line-text"">若連 286(30M平台) / 277.5(前低) 都守不住，反彈容易失真。</span>
  </div>

  <div class=""script-line"">
    <span class=""line-label line-blue"">目標</span>
    <span class=""line-text"">上方先看 299(30M平台) 是否被消化。</span>
  </div>

  <div class=""script-row"">
    <span class=""tag tag-green"">明日若直接跳空過大，先不追價。</span>
  </div>

  <div class=""script-summary"">這一段重點不在追價，而在看賣壓有沒有真正降下來。</div>
</div>
",299(30M平台),286(30M平台) / 277.5(前低),299(30M平台) / 286(30M平台) / 277.5(前低),3.33,空方反彈,空｜偏多,多｜強多,放量｜RV 3.26x｜均線上彎,封測,5
3017 奇鋐,AI伺服器,2545.0,91,空方反彈｜看關鍵位,🌤 觀察盤,temp-neutral,<div class='layer'><span class='layer-label'>日K</span><span class='layer-text'>空｜偏多</span></div><div class='layer'><span class='layer-label'>30M</span><span class='layer-text'>多｜強多</span></div><div class='layer'><span class='layer-label'>位階</span><span class='layer-text'>中繼位階</span></div><div class='layer'><span class='layer-label'>量能</span><span class='layer-text'>放量｜RV 3.06x</span></div><div class='layer'><span class='layer-label'>族群</span><span class='layer-text'>AI伺服器</span></div>,屬於修復性反彈，重點在壓力是否能真正被消化。<br>目前較適合觀察確認，不宜太早預設方向。 量縮壓縮味道明顯，等待方向確認即可。,"
<div class=""script-wrap"">
  <div class=""script-core"">🌤 觀察劇本</div>

  <div class=""script-line"">
    <span class=""line-label line-green"">做法</span>
    <span class=""line-text"">先看 2485(30M平台) / 2340(前低) 是否守穩，若快速收回，較像整理或洗盤。</span>
  </div>

  <div class=""script-line"">
    <span class=""line-label line-red"">防守</span>
    <span class=""line-text"">若連 2485(30M平台) / 2340(前低) 都守不住，反彈容易失真。</span>
  </div>

  <div class=""script-line"">
    <span class=""line-label line-blue"">目標</span>
    <span class=""line-text"">上方先看 2575(30M平台) 是否被消化。</span>
  </div>

  <div class=""script-row"">
    <span class=""tag tag-green"">明日若直接跳空過大，先不追價。</span>
  </div>

  <div class=""script-summary"">這一段重點不在追價，而在看賣壓有沒有真正降下來。</div>
</div>
",2575(30M平台),2485(30M平台) / 2340(前低),2575(30M平台) / 2485(30M平台) / 2340(前低),2.00,空方反彈,空｜偏多,多｜強多,放量｜RV 3.06x｜均線上彎,AI伺服器,5
3363 上詮,光通訊,852.0,91,空方反彈｜看關鍵位,🌤 觀察盤,temp-neutral,<div class='layer'><span class='layer-label'>日K</span><span class='layer-text'>空｜強多</span></div><div class='layer'><span class='layer-label'>30M</span><span class='layer-text'>多｜強多</span></div><div class='layer'><span class='layer-label'>位階</span><span class='layer-text'>中繼位階</span></div><div class='layer'><span class='layer-label'>量能</span><span class='layer-text'>放量｜RV 2.48x</span></div><div class='layer'><span class='layer-label'>族群</span><span class='layer-text'>光通訊</span></div>,屬於修復性反彈，重點在壓力是否能真正被消化。<br>目前較適合觀察確認，不宜太早預設方向。,"
<div class=""script-wrap"">
  <div class=""script-core"">🌤 觀察劇本</div>

  <div class=""script-line"">
    <span class=""line-label line-green"">做法</span>
    <span class=""line-text"">先看 818.65(MA20) / 816(30M平台) 是否守穩，若快速收回，較像整理或洗盤。</span>
  </div>

  <div class=""script-line"">
    <span class=""line-label line-red"">防守</span>
    <span class=""line-text"">若連 818.65(MA20) / 816(30M平台) 都守不住，反彈容易失真。</span>
  </div>

  <div class=""script-line"">
    <span class=""line-label line-blue"">目標</span>
    <span class=""line-text"">上方先看 859(30M平台) 是否被消化。</span>
  </div>

  <div class=""script-row"">
    <span class=""tag tag-green"">明日若直接跳空過大，先不追價。</span>
  </div>

  <div class=""script-summary"">這一段重點不在追價，而在看賣壓有沒有真正降下來。</div>
</div>
",859(30M平台),818.65(MA20) / 816(30M平台),859(30M平台) / 818.65(MA20) / 816(30M平台),4.76,空方反彈,空｜強多,多｜強多,放量｜RV 2.48x｜沿短均線攻擊,光通訊,5
8150 南茂,封測,79.1,91,空方反彈｜看關鍵位,🌤 觀察盤,temp-neutral,<div class='layer'><span class='layer-label'>日K</span><span class='layer-text'>空｜偏多</span></div><div class='layer'><span class='layer-label'>30M</span><span class='layer-text'>多｜偏多</span></div><div class='layer'><span class='layer-label'>位階</span><span class='layer-text'>中繼位階</span></div><div class='layer'><span class='layer-label'>量能</span><span class='layer-text'>放量｜RV 3.25x</span></div><div class='layer'><span class='layer-label'>族群</span><span class='layer-text'>封測</span></div>,屬於修復性反彈，重點在壓力是否能真正被消化。<br>目前較適合觀察確認，不宜太早預設方向。,"
<div class=""script-wrap"">
  <div class=""script-core"">🌤 觀察劇本</div>

  <div class=""script-line"">
    <span class=""line-label line-green"">做法</span>
    <span class=""line-text"">先看 75.9(30M平台) / 74.4(前低) 是否守穩，若快速收回，較像整理或洗盤。</span>
  </div>

  <div class=""script-line"">
    <span class=""line-label line-red"">防守</span>
    <span class=""line-text"">若連 75.9(30M平台) / 74.4(前低) 都守不住，反彈容易失真。</span>
  </div>

  <div class=""script-line"">
    <span class=""line-label line-blue"">目標</span>
    <span class=""line-text"">上方先看 79.8(大量K) / 81.4(30M平台) 是否被消化。</span>
  </div>

  <div class=""script-row"">
    <span class=""tag tag-green"">明日若直接跳空過大，先不追價。</span>
  </div>

  <div class=""script-summary"">這一段重點不在追價，而在看賣壓有沒有真正降下來。</div>
</div>
",79.8(大量K) / 81.4(30M平台),75.9(30M平台) / 74.4(前低),79.8(大量K) / 81.4(30M平台) / 75.9(30M平台) / 74.4(前低),4.57,空方反彈,空｜偏多,多｜偏多,放量｜RV 3.25x｜均線上彎,封測,5
2049 上銀,機器人,376.5,88,末升段｜等突破,🟠 偏熱盤,temp-warm,<div class='layer'><span class='layer-label'>日K</span><span class='layer-text'>多｜強多</span></div><div class='layer'><span class='layer-label'>30M</span><span class='layer-text'>多｜偏多</span></div><div class='layer'><span class='layer-label'>位階</span><span class='layer-text'>高檔延伸</span></div><div class='layer'><span class='layer-label'>量能</span><span class='layer-text'>放量｜RV 3.01x</span></div><div class='layer'><span class='layer-label'>族群</span><span class='layer-text'>機器人</span></div>,漲勢仍在延續，只是最後一段通常最容易出現拉抬後的震盪。<br>趨勢仍在，但短線已開始偏熱，容易先進入高檔震盪。 量縮壓縮味道明顯，等待方向確認即可。,"
<div class=""script-wrap"">
  <div class=""script-core"">🟠 高檔劇本</div>

  <div class=""script-line"">
    <span class=""line-label line-green"">做法</span>
    <span class=""line-text"">若開高但量能跟不上，先視為高檔震盪，不急著追。</span>
  </div>

  <div class=""script-line"">
    <span class=""line-label line-red"">防守</span>
    <span class=""line-text"">373.5(30M平台) / 359.5(前低) 一旦失守，容易進入較明顯的修正。</span>
  </div>

  <div class=""script-line"">
    <span class=""line-label line-blue"">目標</span>
    <span class=""line-text"">383(30M平台) 若無法快速站穩，上方就先當成壓力區。</span>
  </div>

  <div class=""script-row"">
    <span class=""tag tag-green"">明日若直接跳空過大，先不追價。</span>
  </div>

  <div class=""script-summary"">趨勢還沒壞，但短線已偏熱，追價的報酬效率開始下降。</div>
</div>
",383(30M平台),373.5(30M平台) / 359.5(前低),383(30M平台) / 373.5(30M平台) / 359.5(前低),2.17,末升段,多｜強多,多｜偏多,放量｜RV 3.01x｜均線上彎,機器人,1
3264 欣銓,自選,221.5,88,末升段｜等突破,🟠 偏熱盤,temp-warm,<div class='layer'><span class='layer-label'>日K</span><span class='layer-text'>多｜強多</span></div><div class='layer'><span class='layer-label'>30M</span><span class='layer-text'>多｜偏空</span></div><div class='layer'><span class='layer-label'>位階</span><span class='layer-text'>高檔延伸</span></div><div class='layer'><span class='layer-label'>量能</span><span class='layer-text'>放量｜RV 3.18x</span></div><div class='layer'><span class='layer-label'>族群</span><span class='layer-text'>自選</span></div>,漲勢仍在延續，只是最後一段通常最容易出現拉抬後的震盪。<br>趨勢仍在，但短線已開始偏熱，容易先進入高檔震盪。 量縮壓縮味道明顯，等待方向確認即可。,"
<div class=""script-wrap"">
  <div class=""script-core"">🟠 高檔劇本</div>

  <div class=""script-line"">
    <span class=""line-label line-green"">做法</span>
    <span class=""line-text"">若開高但量能跟不上，先視為高檔震盪，不急著追。</span>
  </div>

  <div class=""script-line"">
    <span class=""line-label line-red"">防守</span>
    <span class=""line-text"">219(30M平台) / 218.8(MA20) 一旦失守，容易進入較明顯的修正。</span>
  </div>

  <div class=""script-line"">
    <span class=""line-label line-blue"">目標</span>
    <span class=""line-text"">228.5(30M平台) 若無法快速站穩，上方就先當成壓力區。</span>
  </div>

  <div class=""script-row"">
    <span class=""tag tag-green"">明日若直接跳空過大，先不追價。</span>
  </div>

  <div class=""script-summary"">趨勢還沒壞，但短線已偏熱，追價的報酬效率開始下降。</div>
</div>
",228.5(30M平台),219(30M平台) / 218.8(MA20),228.5(30M平台) / 219(30M平台) / 218.8(MA20),2.80,末升段,多｜強多,多｜偏空,放量｜RV 3.18x｜均線上彎,自選,1
3324 雙鴻,AI伺服器,1010.0,88,空方反彈｜看關鍵位,🌤 觀察盤,temp-neutral,<div class='layer'><span class='layer-label'>日K</span><span class='layer-text'>空｜偏空</span></div><div class='layer'><span class='layer-label'>30M</span><span class='layer-text'>多｜偏多</span></div><div class='layer'><span class='layer-label'>位階</span><span class='layer-text'>中繼位階</span></div><div class='layer'><span class='layer-label'>量能</span><span class='layer-text'>放量｜RV 3.66x</span></div><div class='layer'><span class='layer-label'>族群</span><span class='layer-text'>AI伺服器</span></div>,屬於修復性反彈，重點在壓力是否能真正被消化。<br>目前較適合觀察確認，不宜太早預設方向。 量縮壓縮味道明顯，等待方向確認即可。,"
<div class=""script-wrap"">
  <div class=""script-core"">🌤 觀察劇本</div>

  <div class=""script-line"">
    <span class=""line-label line-green"">做法</span>
    <span class=""line-text"">先看 1000(30M平台) / 939(前低) 是否守穩，若快速收回，較像整理或洗盤。</span>
  </div>

  <div class=""script-line"">
    <span class=""line-label line-red"">防守</span>
    <span class=""line-text"">若連 1000(30M平台) / 939(前低) 都守不住，反彈容易失真。</span>
  </div>

  <div class=""script-line"">
    <span class=""line-label line-blue"">目標</span>
    <span class=""line-text"">上方先看 1020(大量K) / 1036.08(MA60) 是否被消化。</span>
  </div>

  <div class=""script-row"">
    <span class=""tag tag-green"">明日若直接跳空過大，先不追價。</span>
  </div>

  <div class=""script-summary"">這一段重點不在追價，而在看賣壓有沒有真正降下來。</div>
</div>
",1020(大量K) / 1036.08(MA60),1000(30M平台) / 939(前低),1020(大量K) / 1036.08(MA60) / 1000(30M平台) / 939(前低),1.00,空方反彈,空｜偏空,多｜偏多,放量｜RV 3.66x｜均線上彎,AI伺服器,5
4967 十銓,記憶體,270.5,88,空方反彈｜看關鍵位,🌤 觀察盤,temp-neutral,<div class='layer'><span class='layer-label'>日K</span><span class='layer-text'>空｜偏多</span></div><div class='layer'><span class='layer-label'>30M</span><span class='layer-text'>多｜偏多</span></div><div class='layer'><span class='layer-label'>位階</span><span class='layer-text'>中繼位階</span></div><div class='layer'><span class='layer-label'>量能</span><span class='layer-text'>放量｜RV 2.51x</span></div><div class='layer'><span class='layer-label'>族群</span><span class='layer-text'>記憶體</span></div>,屬於修復性反彈，重點在壓力是否能真正被消化。<br>目前較適合觀察確認，不宜太早預設方向。 量縮壓縮味道明顯，等待方向確認即可。,"
<div class=""script-wrap"">
  <div class=""script-core"">🌤 觀察劇本</div>

  <div class=""script-line"">
    <span class=""line-label line-green"">做法</span>
    <span class=""line-text"">先看 266.5(30M平台) / 261(前低) 是否守穩，若快速收回，較像整理或洗盤。</span>
  </div>

  <div class=""script-line"">
    <span class=""line-label line-red"">防守</span>
    <span class=""line-text"">若連 266.5(30M平台) / 261(前低) 都守不住，反彈容易失真。</span>
  </div>

  <div class=""script-line"">
    <span class=""line-label line-blue"">目標</span>
    <span class=""line-text"">上方先看 274(30M平台) 是否被消化。</span>
  </div>

  <div class=""script-row"">
    <span class=""tag tag-green"">明日若直接跳空過大，先不追價。</span>
  </div>

  <div class=""script-summary"">這一段重點不在追價，而在看賣壓有沒有真正降下來。</div>
</div>
",274(30M平台),266.5(30M平台) / 261(前低),274(30M平台) / 266.5(30M平台) / 261(前低),1.14,空方反彈,空｜偏多,多｜偏多,放量｜RV 2.51x｜均線上彎,記憶體,5
2337 旺宏,"自選,記憶體",149.5,87,空方反彈｜看關鍵位,🌤 觀察盤,temp-neutral,"<div class='layer'><span class='layer-label'>日K</span><span class='layer-text'>空｜偏多</span></div><div class='layer'><span class='layer-label'>30M</span><span class='layer-text'>多｜偏多</span></div><div class='layer'><span class='layer-label'>位階</span><span class='layer-text'>中繼位階</span></div><div class='layer'><span class='layer-label'>量能</span><span class='layer-text'>放量｜RV 2.34x</span></div><div class='layer'><span class='layer-label'>族群</span><span class='layer-text'>自選,記憶體</span></div>",屬於修復性反彈，重點在壓力是否能真正被消化。<br>目前較適合觀察確認，不宜太早預設方向。,"
<div class=""script-wrap"">
  <div class=""script-core"">🌤 觀察劇本</div>

  <div class=""script-line"">
    <span class=""line-label line-green"">做法</span>
    <span class=""line-text"">先看 141(30M平台) / 141(前低) 是否守穩，若快速收回，較像整理或洗盤。</span>
  </div>

  <div class=""script-line"">
    <span class=""line-label line-red"">防守</span>
    <span class=""line-text"">若連 141(30M平台) / 141(前低) 都守不住，反彈容易失真。</span>
  </div>

  <div class=""script-line"">
    <span class=""line-label line-blue"">目標</span>
    <span class=""line-text"">上方先看 152.5(30M平台) 是否被消化。</span>
  </div>

  <div class=""script-row"">
    <span class=""tag tag-green"">明日若直接跳空過大，先不追價。</span>
  </div>

  <div class=""script-summary"">這一段重點不在追價，而在看賣壓有沒有真正降下來。</div>
</div>
",152.5(30M平台),141(30M平台) / 141(前低),152.5(30M平台) / 141(30M平台) / 141(前低),2.83,空方反彈,空｜偏多,多｜偏多,放量｜RV 2.34x｜均線上彎,"自選,記憶體",5
3163 波若威,光通訊,1145.0,87,空方反彈｜看關鍵位,🌤 觀察盤,temp-neutral,<div class='layer'><span class='layer-label'>日K</span><span class='layer-text'>空｜偏多</span></div><div class='layer'><span class='layer-label'>30M</span><span class='layer-text'>多｜強多</span></div><div class='layer'><span class='layer-label'>位階</span><span class='layer-text'>中繼位階</span></div><div class='layer'><span class='layer-label'>量能</span><span class='layer-text'>放量｜RV 5.94x</span></div><div class='layer'><span class='layer-label'>族群</span><span class='layer-text'>光通訊</span></div>,屬於修復性反彈，重點在壓力是否能真正被消化。<br>目前較適合觀察確認，不宜太早預設方向。,"
<div class=""script-wrap"">
  <div class=""script-core"">🌤 觀察劇本</div>

  <div class=""script-line"">
    <span class=""line-label line-green"">做法</span>
    <span class=""line-text"">先看 1060.6(MA20) / 1045(30M平台) 是否守穩，若快速收回，較像整理或洗盤。</span>
  </div>

  <div class=""script-line"">
    <span class=""line-label line-red"">防守</span>
    <span class=""line-text"">若連 1060.6(MA20) / 1045(30M平台) 都守不住，反彈容易失真。</span>
  </div>

  <div class=""script-line"">
    <span class=""line-label line-blue"">目標</span>
    <span class=""line-text"">上方先看 1179.35(保守壓力) 是否被消化。</span>
  </div>

  <div class=""script-row"">
    <span class=""tag tag-green"">明日若直接跳空過大，先不追價。</span>
  </div>

  <div class=""script-summary"">這一段重點不在追價，而在看賣壓有沒有真正降下來。</div>
</div>
",1179.35(保守壓力),1060.6(MA20) / 1045(30M平台),1179.35(保守壓力) / 1060.6(MA20) / 1045(30M平台),2.46,空方反彈,空｜偏多,多｜強多,放量｜RV 5.94x｜均線上彎,光通訊,5
2368 金像電,PCB,1330.0,86,空方反彈｜看關鍵位,🌤 觀察盤,temp-neutral,<div class='layer'><span class='layer-label'>日K</span><span class='layer-text'>空｜偏多</span></div><div class='layer'><span class='layer-label'>30M</span><span class='layer-text'>多｜強多</span></div><div class='layer'><span class='layer-label'>位階</span><span class='layer-text'>中繼位階</span></div><div class='layer'><span class='layer-label'>量能</span><span class='layer-text'>放量｜RV 1.67x</span></div><div class='layer'><span class='layer-label'>族群</span><span class='layer-text'>PCB</span></div>,屬於修復性反彈，重點在壓力是否能真正被消化。<br>目前較適合觀察確認，不宜太早預設方向。,"
<div class=""script-wrap"">
  <div class=""script-core"">🌤 觀察劇本</div>

  <div class=""script-line"">
    <span class=""line-label line-green"">做法</span>
    <span class=""line-text"">先看 1280(30M平台) / 1235(前低) 是否守穩，若快速收回，較像整理或洗盤。</span>
  </div>

  <div class=""script-line"">
    <span class=""line-label line-red"">防守</span>
    <span class=""line-text"">若連 1280(30M平台) / 1235(前低) 都守不住，反彈容易失真。</span>
  </div>

  <div class=""script-line"">
    <span class=""line-label line-blue"">目標</span>
    <span class=""line-text"">上方先看 1345(30M平台) 是否被消化。</span>
  </div>

  <div class=""script-row"">
    <span class=""tag tag-green"">明日若直接跳空過大，先不追價。</span>
  </div>

  <div class=""script-summary"">這一段重點不在追價，而在看賣壓有沒有真正降下來。</div>
</div>
",1345(30M平台),1280(30M平台) / 1235(前低),1345(30M平台) / 1280(30M平台) / 1235(前低),3.33,空方反彈,空｜偏多,多｜強多,放量｜RV 1.67x｜沿短均線攻擊,PCB,5
