股票,族群,現價,AI分數,交易狀態,市場溫度,市場溫度類別,市場狀態,多週期判讀,情境提醒,AI策略劇本,結構結果,日K方向,30分K方向,量價判讀,_cats,_sort,主力痕跡
2049 上銀,機器人,376.5,90,末升段｜等突破,🟠 偏熱盤,temp-warm,末升,<div class='layer'><span class='layer-label'>日K</span><span class='layer-text'>多｜強多</span></div><div class='layer'><span class='layer-label'>30M</span><span class='layer-text'>多｜偏多</span></div><div class='layer'><span class='layer-label'>位階</span><span class='layer-text'>高檔延伸</span></div><div class='layer'><span class='layer-label'>節奏</span><span class='layer-text'>放量｜RV 3.01x</span></div><div class='layer'><span class='layer-label'>情緒</span><span class='layer-text'>🟠 偏熱盤</span></div>,漲勢仍在，但尾段容易出現震盪。<br>趨勢仍在，但短線已開始偏熱。 量縮壓縮味道明顯，等待方向確認即可。,"
<div class=""script-wrap"">
  <div class=""script-core"">🟠 高檔劇本</div>
  <div class=""script-line"">
    <span class=""line-label line-green"">做法</span>
    <span class=""line-text"">若開高但量能跟不上，先視為高檔震盪，不急著追。</span>
  </div>
  <div class=""script-line"">
    <span class=""line-label line-red"">防守</span>
    <span class=""line-text"">373.5(30M平台) / 359.5(前低) 一旦失守，容易進入較明顯的修正。</span>
  </div>
  <div class=""script-line"">
    <span class=""line-label line-blue"">目標</span>
    <span class=""line-text"">383(30M平台) 若無法快速站穩，上方就先當成壓力區。</span>
  </div>
  <div class=""script-row"">
    <span class=""tag tag-green"">明日若直接跳空過大，先不追價。</span>
  </div>
  <div class=""script-summary"">趨勢還沒壞，但短線已偏熱，追價的報酬效率開始下降。 量縮壓縮味道明顯，等待方向確認即可。</div>
</div>
",末升段,多｜強多,多｜偏多,放量｜RV 3.01x｜均線上彎,機器人,1,量縮壓縮
3264 欣銓,自選,221.5,90,末升段｜等突破,🟠 偏熱盤,temp-warm,末升,<div class='layer'><span class='layer-label'>日K</span><span class='layer-text'>多｜強多</span></div><div class='layer'><span class='layer-label'>30M</span><span class='layer-text'>多｜偏空</span></div><div class='layer'><span class='layer-label'>位階</span><span class='layer-text'>高檔延伸</span></div><div class='layer'><span class='layer-label'>節奏</span><span class='layer-text'>放量｜RV 3.18x</span></div><div class='layer'><span class='layer-label'>情緒</span><span class='layer-text'>🟠 偏熱盤</span></div>,漲勢仍在，但尾段容易出現震盪。<br>趨勢仍在，但短線已開始偏熱。 空間條件不差，若結構延續，仍有操作彈性。 量縮壓縮味道明顯，等待方向確認即可。,"
<div class=""script-wrap"">
  <div class=""script-core"">🟠 高檔劇本</div>
  <div class=""script-line"">
    <span class=""line-label line-green"">做法</span>
    <span class=""line-text"">若開高但量能跟不上，先視為高檔震盪，不急著追。</span>
  </div>
  <div class=""script-line"">
    <span class=""line-label line-red"">防守</span>
    <span class=""line-text"">219(30M平台) / 218.8(MA20) 一旦失守，容易進入較明顯的修正。</span>
  </div>
  <div class=""script-line"">
    <span class=""line-label line-blue"">目標</span>
    <span class=""line-text"">228.5(30M平台) 若無法快速站穩，上方就先當成壓力區。</span>
  </div>
  <div class=""script-row"">
    <span class=""tag tag-green"">明日若直接跳空過大，先不追價。</span>
  </div>
  <div class=""script-summary"">趨勢還沒壞，但短線已偏熱，追價的報酬效率開始下降。 量縮壓縮味道明顯，等待方向確認即可。</div>
</div>
",末升段,多｜強多,多｜偏空,放量｜RV 3.18x｜均線上彎,自選,1,量縮壓縮
5351 鈺創,記憶體,80.5,88,主升多｜空間緊,🌤 觀察盤,temp-neutral,初升,<div class='layer'><span class='layer-label'>日K</span><span class='layer-text'>多｜強多</span></div><div class='layer'><span class='layer-label'>30M</span><span class='layer-text'>多｜偏多</span></div><div class='layer'><span class='layer-label'>位階</span><span class='layer-text'>中繼位階</span></div><div class='layer'><span class='layer-label'>節奏</span><span class='layer-text'>放量｜RV 1.42x</span></div><div class='layer'><span class='layer-label'>情緒</span><span class='layer-text'>🌤 觀察盤</span></div>,資金開始集中，整理後仍有續攻味道。<br>目前較適合觀察確認。 空間偏緊，較像要先等確認的盤。 雖然結構偏強，但這個位置先不要把它當成好追價點。,"
<div class=""script-wrap"">
  <div class=""script-core"">🟢 續強劇本</div>
  <div class=""script-line"">
    <span class=""line-label line-green"">做法</span>
    <span class=""line-text"">若開盤守住 76.78(MA20) / 75.2(30M平台)，可先觀察續攻。</span>
  </div>
  <div class=""script-line"">
    <span class=""line-label line-red"">防守</span>
    <span class=""line-text"">若跌回 76.78(MA20) / 75.2(30M平台) 下方且無法快速收復，節奏會先轉弱。</span>
  </div>
  <div class=""script-line"">
    <span class=""line-label line-blue"">目標</span>
    <span class=""line-text"">上方先看 82.1(30M平台)；若能帶量穿越，代表攻擊延續。</span>
  </div>
  <div class=""script-row"">
    <span class=""tag tag-green"">明日若直接跳空過大，先不追價。</span>
  </div>
  <div class=""script-summary"">目前屬於偏積極的結構，空間偏緊，以守支撐觀察續攻為主。 空間不算漂亮，追價前要先想清楚風險。</div>
</div>
",主升多,多｜強多,多｜偏多,放量｜RV 1.42x｜均線上彎,記憶體,0,短線轉強
2337 旺宏,"自選,記憶體",149.5,87,空方反彈｜看關鍵位,🌤 觀察盤,temp-neutral,反彈,<div class='layer'><span class='layer-label'>日K</span><span class='layer-text'>空｜偏多</span></div><div class='layer'><span class='layer-label'>30M</span><span class='layer-text'>多｜偏多</span></div><div class='layer'><span class='layer-label'>位階</span><span class='layer-text'>中繼位階</span></div><div class='layer'><span class='layer-label'>節奏</span><span class='layer-text'>放量｜RV 2.34x</span></div><div class='layer'><span class='layer-label'>情緒</span><span class='layer-text'>🌤 觀察盤</span></div>,屬於修復性反彈，重點看壓力能否消化。<br>目前較適合觀察確認。 空間條件不差，若結構延續，仍有操作彈性。,"
<div class=""script-wrap"">
  <div class=""script-core"">🌤 觀察劇本</div>
  <div class=""script-line"">
    <span class=""line-label line-green"">做法</span>
    <span class=""line-text"">先看 141(30M平台) / 141(前低) 是否守穩，若快速收回，較像整理或洗盤。</span>
  </div>
  <div class=""script-line"">
    <span class=""line-label line-red"">防守</span>
    <span class=""line-text"">若連 141(30M平台) / 141(前低) 都守不住，反彈容易失真。</span>
  </div>
  <div class=""script-line"">
    <span class=""line-label line-blue"">目標</span>
    <span class=""line-text"">上方先看 152.5(30M平台) 是否被消化。</span>
  </div>
  <div class=""script-row"">
    <span class=""tag tag-green"">明日若直接跳空過大，先不追價。</span>
  </div>
  <div class=""script-summary"">這一段重點不在追價，而在看賣壓有沒有真正降下來。</div>
</div>
",空方反彈,空｜偏多,多｜偏多,放量｜RV 2.34x｜均線上彎,"自選,記憶體",5,一般整理
3163 波若威,光通訊,1145.0,87,空方反彈｜看關鍵位,🌤 觀察盤,temp-neutral,反彈,<div class='layer'><span class='layer-label'>日K</span><span class='layer-text'>空｜偏多</span></div><div class='layer'><span class='layer-label'>30M</span><span class='layer-text'>多｜強多</span></div><div class='layer'><span class='layer-label'>位階</span><span class='layer-text'>中繼位階</span></div><div class='layer'><span class='layer-label'>節奏</span><span class='layer-text'>放量｜RV 5.00x</span></div><div class='layer'><span class='layer-label'>情緒</span><span class='layer-text'>🌤 觀察盤</span></div>,屬於修復性反彈，重點看壓力能否消化。<br>目前較適合觀察確認。,"
<div class=""script-wrap"">
  <div class=""script-core"">🌤 觀察劇本</div>
  <div class=""script-line"">
    <span class=""line-label line-green"">做法</span>
    <span class=""line-text"">先看 1060.6(MA20) / 1045(30M平台) 是否守穩，若快速收回，較像整理或洗盤。</span>
  </div>
  <div class=""script-line"">
    <span class=""line-label line-red"">防守</span>
    <span class=""line-text"">若連 1060.6(MA20) / 1045(30M平台) 都守不住，反彈容易失真。</span>
  </div>
  <div class=""script-line"">
    <span class=""line-label line-blue"">目標</span>
    <span class=""line-text"">上方先看 1179.35(保守壓力) 是否被消化。</span>
  </div>
  <div class=""script-row"">
    <span class=""tag tag-green"">明日若直接跳空過大，先不追價。</span>
  </div>
  <div class=""script-summary"">這一段重點不在追價，而在看賣壓有沒有真正降下來。</div>
</div>
",空方反彈,空｜偏多,多｜強多,放量｜RV 5.00x｜均線上彎,光通訊,5,一般整理
3324 雙鴻,AI伺服器,1010.0,87,空方反彈｜看關鍵位,🌤 觀察盤,temp-neutral,反彈,<div class='layer'><span class='layer-label'>日K</span><span class='layer-text'>空｜偏空</span></div><div class='layer'><span class='layer-label'>30M</span><span class='layer-text'>多｜偏多</span></div><div class='layer'><span class='layer-label'>位階</span><span class='layer-text'>中繼位階</span></div><div class='layer'><span class='layer-label'>節奏</span><span class='layer-text'>放量｜RV 3.66x</span></div><div class='layer'><span class='layer-label'>情緒</span><span class='layer-text'>🌤 觀察盤</span></div>,屬於修復性反彈，重點看壓力能否消化。<br>目前較適合觀察確認。 追價報酬效率普通，宜等更明確的突破。 量縮壓縮味道明顯，等待方向確認即可。,"
<div class=""script-wrap"">
  <div class=""script-core"">🌤 觀察劇本</div>
  <div class=""script-line"">
    <span class=""line-label line-green"">做法</span>
    <span class=""line-text"">先看 1000(30M平台) / 939(前低) 是否守穩，若快速收回，較像整理或洗盤。</span>
  </div>
  <div class=""script-line"">
    <span class=""line-label line-red"">防守</span>
    <span class=""line-text"">若連 1000(30M平台) / 939(前低) 都守不住，反彈容易失真。</span>
  </div>
  <div class=""script-line"">
    <span class=""line-label line-blue"">目標</span>
    <span class=""line-text"">上方先看 1020(大量K) / 1036.08(MA60) 是否被消化。</span>
  </div>
  <div class=""script-row"">
    <span class=""tag tag-green"">明日若直接跳空過大，先不追價。</span>
  </div>
  <div class=""script-summary"">這一段重點不在追價，而在看賣壓有沒有真正降下來。 量縮壓縮味道明顯，等待方向確認即可。</div>
</div>
",空方反彈,空｜偏空,多｜偏多,放量｜RV 3.66x｜均線上彎,AI伺服器,5,量縮壓縮
4967 十銓,記憶體,270.5,87,空方反彈｜看關鍵位,🌤 觀察盤,temp-neutral,反彈,<div class='layer'><span class='layer-label'>日K</span><span class='layer-text'>空｜偏多</span></div><div class='layer'><span class='layer-label'>30M</span><span class='layer-text'>多｜偏多</span></div><div class='layer'><span class='layer-label'>位階</span><span class='layer-text'>中繼位階</span></div><div class='layer'><span class='layer-label'>節奏</span><span class='layer-text'>放量｜RV 2.51x</span></div><div class='layer'><span class='layer-label'>情緒</span><span class='layer-text'>🌤 觀察盤</span></div>,屬於修復性反彈，重點看壓力能否消化。<br>目前較適合觀察確認。 追價報酬效率普通，宜等更明確的突破。 量縮壓縮味道明顯，等待方向確認即可。,"
<div class=""script-wrap"">
  <div class=""script-core"">🌤 觀察劇本</div>
  <div class=""script-line"">
    <span class=""line-label line-green"">做法</span>
    <span class=""line-text"">先看 266.5(30M平台) / 261(前低) 是否守穩，若快速收回，較像整理或洗盤。</span>
  </div>
  <div class=""script-line"">
    <span class=""line-label line-red"">防守</span>
    <span class=""line-text"">若連 266.5(30M平台) / 261(前低) 都守不住，反彈容易失真。</span>
  </div>
  <div class=""script-line"">
    <span class=""line-label line-blue"">目標</span>
    <span class=""line-text"">上方先看 274(30M平台) 是否被消化。</span>
  </div>
  <div class=""script-row"">
    <span class=""tag tag-green"">明日若直接跳空過大，先不追價。</span>
  </div>
  <div class=""script-summary"">這一段重點不在追價，而在看賣壓有沒有真正降下來。 量縮壓縮味道明顯，等待方向確認即可。</div>
</div>
",空方反彈,空｜偏多,多｜偏多,放量｜RV 2.51x｜均線上彎,記憶體,5,量縮壓縮
2344 華邦電,記憶體,125.0,86,主升多｜空間緊,🌤 觀察盤,temp-neutral,初升,<div class='layer'><span class='layer-label'>日K</span><span class='layer-text'>多｜強多</span></div><div class='layer'><span class='layer-label'>30M</span><span class='layer-text'>多｜強多</span></div><div class='layer'><span class='layer-label'>位階</span><span class='layer-text'>中繼位階</span></div><div class='layer'><span class='layer-label'>節奏</span><span class='layer-text'>放量｜RV 3.99x</span></div><div class='layer'><span class='layer-label'>情緒</span><span class='layer-text'>🌤 觀察盤</span></div>,資金開始集中，整理後仍有續攻味道。<br>目前較適合觀察確認。 空間偏緊，較像要先等確認的盤。 雖然結構偏強，但這個位置先不要把它當成好追價點。,"
<div class=""script-wrap"">
  <div class=""script-core"">🟢 續強劇本</div>
  <div class=""script-line"">
    <span class=""line-label line-green"">做法</span>
    <span class=""line-text"">若開盤守住 114(30M平台) / 114(前低)，可先觀察續攻。</span>
  </div>
  <div class=""script-line"">
    <span class=""line-label line-red"">防守</span>
    <span class=""line-text"">若跌回 114(30M平台) / 114(前低) 下方且無法快速收復，節奏會先轉弱。</span>
  </div>
  <div class=""script-line"">
    <span class=""line-label line-blue"">目標</span>
    <span class=""line-text"">上方先看 128.75(保守壓力)；若能帶量穿越，代表攻擊延續。</span>
  </div>
  <div class=""script-row"">
    <span class=""tag tag-green"">明日若直接跳空過大，先不追價。</span>
  </div>
  <div class=""script-summary"">目前屬於偏積極的結構，空間偏緊，以守支撐觀察續攻為主。 空間不算漂亮，追價前要先想清楚風險。</div>
</div>
",主升多,多｜強多,多｜強多,放量｜RV 3.99x｜均線上彎,記憶體,0,一般整理
2359 所羅門,"自選,機器人",141.0,86,主升多｜空間緊,🌤 觀察盤,temp-neutral,初升,<div class='layer'><span class='layer-label'>日K</span><span class='layer-text'>多｜強多</span></div><div class='layer'><span class='layer-label'>30M</span><span class='layer-text'>多｜強多</span></div><div class='layer'><span class='layer-label'>位階</span><span class='layer-text'>中繼位階</span></div><div class='layer'><span class='layer-label'>節奏</span><span class='layer-text'>放量｜RV 2.76x</span></div><div class='layer'><span class='layer-label'>情緒</span><span class='layer-text'>🌤 觀察盤</span></div>,資金開始集中，整理後仍有續攻味道。<br>目前較適合觀察確認。 空間偏緊，較像要先等確認的盤。 雖然結構偏強，但這個位置先不要把它當成好追價點。,"
<div class=""script-wrap"">
  <div class=""script-core"">🟢 續強劇本</div>
  <div class=""script-line"">
    <span class=""line-label line-green"">做法</span>
    <span class=""line-text"">若開盤守住 133.5(30M平台) / 127.5(前低)，可先觀察續攻。</span>
  </div>
  <div class=""script-line"">
    <span class=""line-label line-red"">防守</span>
    <span class=""line-text"">若跌回 133.5(30M平台) / 127.5(前低) 下方且無法快速收復，節奏會先轉弱。</span>
  </div>
  <div class=""script-line"">
    <span class=""line-label line-blue"">目標</span>
    <span class=""line-text"">上方先看 145.23(保守壓力)；若能帶量穿越，代表攻擊延續。</span>
  </div>
  <div class=""script-row"">
    <span class=""tag tag-green"">明日若直接跳空過大，先不追價。</span>
  </div>
  <div class=""script-summary"">目前屬於偏積極的結構，空間偏緊，以守支撐觀察續攻為主。 空間不算漂亮，追價前要先想清楚風險。</div>
</div>
",主升多,多｜強多,多｜強多,放量｜RV 2.76x｜沿短均線攻擊,"自選,機器人",0,一般整理
2421 建準,AI伺服器,158.5,86,主升多｜空間緊,🌤 觀察盤,temp-neutral,初升,<div class='layer'><span class='layer-label'>日K</span><span class='layer-text'>多｜強多</span></div><div class='layer'><span class='layer-label'>30M</span><span class='layer-text'>多｜強多</span></div><div class='layer'><span class='layer-label'>位階</span><span class='layer-text'>中繼位階</span></div><div class='layer'><span class='layer-label'>節奏</span><span class='layer-text'>放量｜RV 3.79x</span></div><div class='layer'><span class='layer-label'>情緒</span><span class='layer-text'>🌤 觀察盤</span></div>,資金開始集中，整理後仍有續攻味道。<br>目前較適合觀察確認。 空間偏緊，較像要先等確認的盤。 雖然結構偏強，但這個位置先不要把它當成好追價點。,"
<div class=""script-wrap"">
  <div class=""script-core"">🟢 續強劇本</div>
  <div class=""script-line"">
    <span class=""line-label line-green"">做法</span>
    <span class=""line-text"">若開盤守住 151.5(30M平台) / 146.97(MA20)，可先觀察續攻。</span>
  </div>
  <div class=""script-line"">
    <span class=""line-label line-red"">防守</span>
    <span class=""line-text"">若跌回 151.5(30M平台) / 146.97(MA20) 下方且無法快速收復，節奏會先轉弱。</span>
  </div>
  <div class=""script-line"">
    <span class=""line-label line-blue"">目標</span>
    <span class=""line-text"">上方先看 160.5(30M平台)；若能帶量穿越，代表攻擊延續。</span>
  </div>
  <div class=""script-row"">
    <span class=""tag tag-green"">明日若直接跳空過大，先不追價。</span>
  </div>
  <div class=""script-summary"">目前屬於偏積極的結構，空間偏緊，以守支撐觀察續攻為主。 空間不算漂亮，追價前要先想清楚風險。</div>
</div>
",主升多,多｜強多,多｜強多,放量｜RV 3.79x｜均線上彎,AI伺服器,0,一般整理
3265 台星科,封測,186.0,86,主升多｜空間緊,🌤 觀察盤,temp-neutral,初升,<div class='layer'><span class='layer-label'>日K</span><span class='layer-text'>多｜強多</span></div><div class='layer'><span class='layer-label'>30M</span><span class='layer-text'>多｜強多</span></div><div class='layer'><span class='layer-label'>位階</span><span class='layer-text'>中繼位階</span></div><div class='layer'><span class='layer-label'>節奏</span><span class='layer-text'>放量｜RV 3.99x</span></div><div class='layer'><span class='layer-label'>情緒</span><span class='layer-text'>🌤 觀察盤</span></div>,資金開始集中，整理後仍有續攻味道。<br>目前較適合觀察確認。 空間偏緊，較像要先等確認的盤。 雖然結構偏強，但這個位置先不要把它當成好追價點。,"
<div class=""script-wrap"">
  <div class=""script-core"">🟢 續強劇本</div>
  <div class=""script-line"">
    <span class=""line-label line-green"">做法</span>
    <span class=""line-text"">若開盤守住 177.78(MA20) / 177.5(30M平台)，可先觀察續攻。</span>
  </div>
  <div class=""script-line"">
    <span class=""line-label line-red"">防守</span>
    <span class=""line-text"">若跌回 177.78(MA20) / 177.5(30M平台) 下方且無法快速收復，節奏會先轉弱。</span>
  </div>
  <div class=""script-line"">
    <span class=""line-label line-blue"">目標</span>
    <span class=""line-text"">上方先看 190(30M平台)；若能帶量穿越，代表攻擊延續。</span>
  </div>
  <div class=""script-row"">
    <span class=""tag tag-green"">明日若直接跳空過大，先不追價。</span>
  </div>
  <div class=""script-summary"">目前屬於偏積極的結構，空間偏緊，以守支撐觀察續攻為主。 空間不算漂亮，追價前要先想清楚風險。</div>
</div>
",主升多,多｜強多,多｜強多,放量｜RV 3.99x｜均線上彎,封測,0,一般整理
2368 金像電,PCB,1330.0,86,空方反彈｜看關鍵位,🌤 觀察盤,temp-neutral,反彈,<div class='layer'><span class='layer-label'>日K</span><span class='layer-text'>空｜偏多</span></div><div class='layer'><span class='layer-label'>30M</span><span class='layer-text'>多｜強多</span></div><div class='layer'><span class='layer-label'>位階</span><span class='layer-text'>中繼位階</span></div><div class='layer'><span class='layer-label'>節奏</span><span class='layer-text'>放量｜RV 1.67x</span></div><div class='layer'><span class='layer-label'>情緒</span><span class='layer-text'>🌤 觀察盤</span></div>,屬於修復性反彈，重點看壓力能否消化。<br>目前較適合觀察確認。 空間條件不差，若結構延續，仍有操作彈性。,"
<div class=""script-wrap"">
  <div class=""script-core"">🌤 觀察劇本</div>
  <div class=""script-line"">
    <span class=""line-label line-green"">做法</span>
    <span class=""line-text"">先看 1280(30M平台) / 1235(前低) 是否守穩，若快速收回，較像整理或洗盤。</span>
  </div>
  <div class=""script-line"">
    <span class=""line-label line-red"">防守</span>
    <span class=""line-text"">若連 1280(30M平台) / 1235(前低) 都守不住，反彈容易失真。</span>
  </div>
  <div class=""script-line"">
    <span class=""line-label line-blue"">目標</span>
    <span class=""line-text"">上方先看 1345(30M平台) 是否被消化。</span>
  </div>
  <div class=""script-row"">
    <span class=""tag tag-green"">明日若直接跳空過大，先不追價。</span>
  </div>
  <div class=""script-summary"">這一段重點不在追價，而在看賣壓有沒有真正降下來。</div>
</div>
",空方反彈,空｜偏多,多｜強多,放量｜RV 1.67x｜沿短均線攻擊,PCB,5,一般整理
3443 創意,ASIC,5140.0,85,末升段｜等突破,🌤 觀察盤,temp-neutral,末升,<div class='layer'><span class='layer-label'>日K</span><span class='layer-text'>多｜強多</span></div><div class='layer'><span class='layer-label'>30M</span><span class='layer-text'>多｜強多</span></div><div class='layer'><span class='layer-label'>位階</span><span class='layer-text'>高檔延伸</span></div><div class='layer'><span class='layer-label'>節奏</span><span class='layer-text'>放量｜RV 2.45x</span></div><div class='layer'><span class='layer-label'>情緒</span><span class='layer-text'>🌤 觀察盤</span></div>,漲勢仍在，但尾段容易出現震盪。<br>目前較適合觀察確認。 追價報酬效率普通，宜等更明確的突破。,"
<div class=""script-wrap"">
  <div class=""script-core"">🟠 高檔劇本</div>
  <div class=""script-line"">
    <span class=""line-label line-green"">做法</span>
    <span class=""line-text"">若開高但量能跟不上，先視為高檔震盪，不急著追。</span>
  </div>
  <div class=""script-line"">
    <span class=""line-label line-red"">防守</span>
    <span class=""line-text"">4990(30M平台) / 4813(MA20) 一旦失守，容易進入較明顯的修正。</span>
  </div>
  <div class=""script-line"">
    <span class=""line-label line-blue"">目標</span>
    <span class=""line-text"">5294.2(保守壓力) 若無法快速站穩，上方就先當成壓力區。</span>
  </div>
  <div class=""script-row"">
    <span class=""tag tag-green"">明日若直接跳空過大，先不追價。</span>
  </div>
  <div class=""script-summary"">趨勢還沒壞，但短線已偏熱，追價的報酬效率開始下降。</div>
</div>
",末升段,多｜強多,多｜強多,放量｜RV 2.45x｜沿短均線攻擊,ASIC,1,短線轉強
6526 達發,ASIC,725.0,84,末升段｜等突破,🌤 觀察盤,temp-neutral,末升,<div class='layer'><span class='layer-label'>日K</span><span class='layer-text'>多｜強多</span></div><div class='layer'><span class='layer-label'>30M</span><span class='layer-text'>多｜強多</span></div><div class='layer'><span class='layer-label'>位階</span><span class='layer-text'>高檔延伸</span></div><div class='layer'><span class='layer-label'>節奏</span><span class='layer-text'>放量｜RV 5.50x</span></div><div class='layer'><span class='layer-label'>情緒</span><span class='layer-text'>🌤 觀察盤</span></div>,漲勢仍在，但尾段容易出現震盪。<br>目前較適合觀察確認。 追價報酬效率普通，宜等更明確的突破。 量縮壓縮味道明顯，等待方向確認即可。,"
<div class=""script-wrap"">
  <div class=""script-core"">🟠 高檔劇本</div>
  <div class=""script-line"">
    <span class=""line-label line-green"">做法</span>
    <span class=""line-text"">若開高但量能跟不上，先視為高檔震盪，不急著追。</span>
  </div>
  <div class=""script-line"">
    <span class=""line-label line-red"">防守</span>
    <span class=""line-text"">704(30M平台) / 658.35(MA20) 一旦失守，容易進入較明顯的修正。</span>
  </div>
  <div class=""script-line"">
    <span class=""line-label line-blue"">目標</span>
    <span class=""line-text"">746.75(保守壓力) 若無法快速站穩，上方就先當成壓力區。</span>
  </div>
  <div class=""script-row"">
    <span class=""tag tag-green"">明日若直接跳空過大，先不追價。</span>
  </div>
  <div class=""script-summary"">趨勢還沒壞，但短線已偏熱，追價的報酬效率開始下降。 量縮壓縮味道明顯，等待方向確認即可。</div>
</div>
",末升段,多｜強多,多｜強多,放量｜RV 5.50x｜沿短均線攻擊,ASIC,1,量縮壓縮
1513 中興電,自選,156.5,84,多方壓縮｜等方向,🌤 觀察盤,temp-neutral,壓縮等待,<div class='layer'><span class='layer-label'>日K</span><span class='layer-text'>多｜偏多</span></div><div class='layer'><span class='layer-label'>30M</span><span class='layer-text'>多｜強多</span></div><div class='layer'><span class='layer-label'>位階</span><span class='layer-text'>均線附近</span></div><div class='layer'><span class='layer-label'>節奏</span><span class='layer-text'>放量｜RV 3.65x</span></div><div class='layer'><span class='layer-label'>情緒</span><span class='layer-text'>🌤 觀察盤</span></div>,價格先收斂，市場在等方向表態。<br>目前較適合觀察確認。 空間偏緊，較像要先等確認的盤。 量縮壓縮味道明顯，等待方向確認即可。,"
<div class=""script-wrap"">
  <div class=""script-core"">🟢 續強劇本</div>
  <div class=""script-line"">
    <span class=""line-label line-green"">做法</span>
    <span class=""line-text"">若開盤守住 153.5(30M平台) / 152.85(MA20)，可先觀察續攻。</span>
  </div>
  <div class=""script-line"">
    <span class=""line-label line-red"">防守</span>
    <span class=""line-text"">若跌回 153.5(30M平台) / 152.85(MA20) 下方且無法快速收復，節奏會先轉弱。</span>
  </div>
  <div class=""script-line"">
    <span class=""line-label line-blue"">目標</span>
    <span class=""line-text"">上方先看 157(30M平台)；若能帶量穿越，代表攻擊延續。</span>
  </div>
  <div class=""script-row"">
    <span class=""tag tag-green"">明日若直接跳空過大，先不追價。</span>
  </div>
  <div class=""script-summary"">目前屬於偏積極的結構，空間偏緊，以守支撐觀察續攻為主。 空間不算漂亮，追價前要先想清楚風險。 量縮壓縮味道明顯，等待方向確認即可。</div>
</div>
",多方壓縮,多｜偏多,多｜強多,放量｜RV 3.65x｜均線上彎,自選,2,量縮壓縮
5443 均豪,"自選,機器人",121.5,83,空方反彈｜看關鍵位,🌤 觀察盤,temp-neutral,反彈,<div class='layer'><span class='layer-label'>日K</span><span class='layer-text'>空｜偏多</span></div><div class='layer'><span class='layer-label'>30M</span><span class='layer-text'>多｜偏多</span></div><div class='layer'><span class='layer-label'>位階</span><span class='layer-text'>中繼位階</span></div><div class='layer'><span class='layer-label'>節奏</span><span class='layer-text'>放量｜RV 1.92x</span></div><div class='layer'><span class='layer-label'>情緒</span><span class='layer-text'>🌤 觀察盤</span></div>,屬於修復性反彈，重點看壓力能否消化。<br>目前較適合觀察確認。 追價報酬效率普通，宜等更明確的突破。,"
<div class=""script-wrap"">
  <div class=""script-core"">🌤 觀察劇本</div>
  <div class=""script-line"">
    <span class=""line-label line-green"">做法</span>
    <span class=""line-text"">先看 117.5(30M平台) / 116.5(前低) 是否守穩，若快速收回，較像整理或洗盤。</span>
  </div>
  <div class=""script-line"">
    <span class=""line-label line-red"">防守</span>
    <span class=""line-text"">若連 117.5(30M平台) / 116.5(前低) 都守不住，反彈容易失真。</span>
  </div>
  <div class=""script-line"">
    <span class=""line-label line-blue"">目標</span>
    <span class=""line-text"">上方先看 125.5(30M平台) 是否被消化。</span>
  </div>
  <div class=""script-row"">
    <span class=""tag tag-green"">明日若直接跳空過大，先不追價。</span>
  </div>
  <div class=""script-summary"">這一段重點不在追價，而在看賣壓有沒有真正降下來。</div>
</div>
",空方反彈,空｜偏多,多｜偏多,放量｜RV 1.92x｜均線上彎,"自選,機器人",5,一般整理
8054 安國,自選,111.5,83,空方反彈｜看關鍵位,🌤 觀察盤,temp-neutral,反彈,<div class='layer'><span class='layer-label'>日K</span><span class='layer-text'>空｜強多</span></div><div class='layer'><span class='layer-label'>30M</span><span class='layer-text'>多｜強多</span></div><div class='layer'><span class='layer-label'>位階</span><span class='layer-text'>中繼位階</span></div><div class='layer'><span class='layer-label'>節奏</span><span class='layer-text'>放量｜RV 2.65x</span></div><div class='layer'><span class='layer-label'>情緒</span><span class='layer-text'>🌤 觀察盤</span></div>,屬於修復性反彈，重點看壓力能否消化。<br>目前較適合觀察確認。 追價報酬效率普通，宜等更明確的突破。,"
<div class=""script-wrap"">
  <div class=""script-core"">🌤 觀察劇本</div>
  <div class=""script-line"">
    <span class=""line-label line-green"">做法</span>
    <span class=""line-text"">先看 108(30M平台) / 106.5(前低) 是否守穩，若快速收回，較像整理或洗盤。</span>
  </div>
  <div class=""script-line"">
    <span class=""line-label line-red"">防守</span>
    <span class=""line-text"">若連 108(30M平台) / 106.5(前低) 都守不住，反彈容易失真。</span>
  </div>
  <div class=""script-line"">
    <span class=""line-label line-blue"">目標</span>
    <span class=""line-text"">上方先看 114.84(保守壓力) 是否被消化。</span>
  </div>
  <div class=""script-row"">
    <span class=""tag tag-green"">明日若直接跳空過大，先不追價。</span>
  </div>
  <div class=""script-summary"">這一段重點不在追價，而在看賣壓有沒有真正降下來。</div>
</div>
",空方反彈,空｜強多,多｜強多,放量｜RV 2.65x｜均線上彎,自選,5,一般整理
